Player,Dribbling,Fouling,Interrupting,Passing,Receiving,Shooting,Goals Added
Kevin Molino,0.36,0.02,0.36,0.24,-0.15,0.33,1.16
Alex Muyl,-0.11,-0.10,0.82,0.39,0.30,-0.14,1.16
Saphir Taïder,0.51,0.71,-0.87,-0.61,1.12,0.29,1.14
Tristan Blackmon,0.02,0.09,-0.05,0.58,0.31,0.19,1.14
Graham Smith,0.21,0.07,0.47,-0.05,0.08,0.32,1.11
Angelo Rodríguez,-0.95,0.09,-0.01,0.15,1.32,0.50,1.10
Santiago Mosquera,0.91,-0.13,0.09,0.04,-0.06,0.22,1.08
Auro,0.38,0.46,0.17,-0.14,0.16,0.03,1.07
Gyasi Zardes,-0.73,0.25,0.57,-0.55,1.22,0.30,1.06
Bacary Sagna,-0.35,0.47,0.32,0.20,0.51,-0.11,1.06
Héctor Villalba,1.28,-0.10,-0.13,-0.31,0.20,0.09,1.03
Michael Murillo,0.13,-0.02,0.57,0.16,0.14,0.04,1.02
Bastian Schweinsteiger,1.02,0.03,-0.23,0.64,-0.32,-0.12,1.02
Brandon Bye,-0.16,-0.21,0.46,0.37,0.40,0.15,1.01
Memo Rodríguez,-0.23,-0.09,0.21,0.28,0.32,0.51,0.99
Aaron Herrera,0.11,-0.29,1.49,0.05,-0.37,-0.01,0.98
Paxton Pomykal,0.77,-0.13,0.71,0.21,-0.56,-0.02,0.97
Jan Gregus,0.51,0.00,0.51,1.05,-0.66,-0.46,0.94
Rudy Camacho,0.26,0.10,-0.09,0.38,0.04,0.22,0.91
Ruan,1.06,0.61,-0.32,-0.69,0.13,0.12,0.91
Nicolás Lodeiro,0.08,0.23,0.65,0.58,-0.28,-0.35,0.91
Chris Wondolowski,-0.22,-0.24,-0.27,-0.75,2.18,0.21,0.90
Ezequiel Barco,0.49,0.16,-0.21,0.03,0.10,0.33,0.90
Zdenek Ondrasek,-0.23,-0.16,0.07,-0.06,1.02,0.25,0.90
Nick Hagglund,0.15,0.15,0.18,0.01,0.11,0.28,0.88
Nicolas Benezet,0.21,-0.02,0.56,-0.12,0.17,0.08,0.88
Florian Jungwirth,0.43,-0.36,1.02,0.14,-0.35,-0.03,0.85
Edgar Castillo,-0.19,0.13,0.69,0.29,-0.05,-0.05,0.83
Miles Robinson,0.96,0.29,-0.22,0.22,-0.14,-0.29,0.82
Dave Romney,0.25,0.07,0.56,-0.10,-0.05,0.07,0.81
Michaell Chirinos,-0.11,0.45,-0.02,-0.17,0.40,0.26,0.80
Sergio Santos,-0.03,0.17,0.07,-0.10,0.38,0.30,0.80
Mauro Manotas,-0.48,-0.68,0.05,0.94,0.44,0.52,0.78
Jamiro Monteiro,0.33,-0.13,-0.32,0.86,-0.21,0.25,0.78
