Player,Team,Season,Minutes,Shots,SoT,G,xG,xPlace,G-xG,KeyP,A,xA,A-xA,xG+xA,xPA through goals,xPA through shots
João Moutinho,ORL,2019,1347,0.64,0.14,0.00,0.02,-0.01,-0.02,0.86,0.14,0.09,0.05,0.11,0.00,0.02
Joe Corona,LAG,2019,2537,0.68,0.15,0.04,0.05,0.00,-0.02,0.72,0.04,0.06,-0.02,0.11,0.03,0.04
Juninho Pereira,LAG,2019,20,0.00,0.00,0.00,0.00,0.00,0.00,4.80,0.00,0.11,-0.11,0.11,0.00,0.00
Lass Bangoura,VAN,2019,697,1.52,0.55,0.14,0.06,-0.01,0.08,0.83,0.14,0.05,0.08,0.11,0.11,0.05
Aníbal Godoy,SJE,2019,1479,0.39,0.13,0.00,0.02,-0.01,-0.02,0.84,0.06,0.09,-0.03,0.11,0.00,0.00
Andrew Gutman,CIN,2019,542,0.53,0.00,0.00,0.05,-0.05,-0.05,0.53,0.18,0.06,0.12,0.11,0.00,0.03
Rudy Camacho,MTL,2019,1599,0.54,0.18,0.06,0.09,0.01,-0.03,0.24,0.00,0.02,-0.02,0.11,0.03,0.05
Rece Buckmaster,NYRB,2019,597,0.32,0.00,0.00,0.03,-0.03,-0.03,0.96,0.00,0.08,-0.08,0.11,0.00,0.01
Alex Crognale,CLB,2019,1000,0.38,0.00,0.00,0.11,-0.11,-0.11,0.00,0.00,0.00,0.00,0.11,0.00,0.08
Warren Creavalle,PHI,2019,438,0.22,0.00,0.00,0.01,-0.01,-0.01,1.10,0.22,0.10,0.12,0.11,0.00,0.00
Clément Bayiha,MTL,2019,528,0.36,0.18,0.00,0.02,0.00,-0.02,1.09,0.18,0.09,0.09,0.11,0.00,0.00
Mikey Ambrose,ATL,2019,289,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.11,-0.11,0.11,0.00,0.00
Alvas Powell,CIN,2019,1070,0.63,0.27,0.00,0.04,0.01,-0.04,0.63,0.00,0.07,-0.07,0.11,0.00,0.03
Nick Lima,SJE,2019,2004,0.81,0.19,0.05,0.03,-0.02,0.02,0.96,0.10,0.08,0.02,0.11,0.03,0.02
Kyle Duncan,NYRB,2019,1192,0.48,0.08,0.08,0.05,0.01,0.03,0.72,0.16,0.06,0.11,0.10,0.05,0.04
Daniel Steres,LAG,2019,2860,0.67,0.20,0.10,0.08,0.01,0.02,0.20,0.00,0.02,-0.02,0.10,0.07,0.06
Micheal Azira,"CHI, MTL",2019,1840,0.57,0.16,0.00,0.06,0.00,-0.06,0.68,0.05,0.04,0.01,0.10,0.00,0.06
Leonardo Bertone,CIN,2019,2261,1.19,0.21,0.04,0.04,0.02,0.00,0.76,0.04,0.06,-0.02,0.10,0.03,0.03
Victor Ulloa,CIN,2019,2135,0.40,0.13,0.04,0.02,-0.01,0.02,1.08,0.04,0.08,-0.03,0.10,0.00,0.01
Amro Tarek,NYRB,2019,1608,0.48,0.24,0.06,0.05,0.02,0.01,0.36,0.00,0.05,-0.05,0.10,0.03,0.03
