Player,Team,Season,Minutes,Shots,SoT,G,xG,xPlace,G-xG,KeyP,A,xA,A-xA,xG+xA,xPA through goals,xPA through shots
Kyle Smith,ORL,2019,1554,0.37,0.12,0.00,0.04,-0.02,-0.04,0.19,0.00,0.01,-0.01,0.04,0.00,0.03
Caleb Stanko,CIN,2019,1581,0.30,0.12,0.00,0.02,-0.01,-0.02,0.43,0.00,0.03,-0.03,0.04,0.00,0.02
Michael Parkhurst,ATL,2019,1579,0.24,0.12,0.00,0.01,-0.01,-0.01,0.55,0.00,0.04,-0.04,0.04,0.00,0.00
Chris Durkin,DCU,2019,727,0.53,0.13,0.13,0.02,0.05,0.11,0.26,0.00,0.02,-0.02,0.04,0.10,0.01
Amar Sejdic,MTL,2019,71,0.00,0.00,0.00,0.00,0.00,0.00,1.35,0.00,0.04,-0.04,0.04,0.00,0.00
Jonathan Mensah,CLB,2019,2372,0.49,0.12,0.00,0.04,-0.01,-0.04,0.04,0.00,0.00,0.00,0.04,0.00,0.03
Derek Cornelius,VAN,2019,1558,0.31,0.12,0.06,0.03,0.01,0.03,0.25,0.00,0.01,-0.01,0.04,0.11,0.03
Sebastián Méndez,ORL,2019,1997,0.48,0.00,0.00,0.03,-0.03,-0.03,0.24,0.00,0.01,-0.01,0.04,0.00,0.02
Marcelo Silva,RSL,2019,1490,0.45,0.19,0.13,0.03,0.03,0.10,0.19,0.00,0.01,-0.01,0.04,0.08,0.02
Xavier Arreaga,SEA,2019,1237,0.47,0.08,0.00,0.03,-0.03,-0.03,0.08,0.00,0.01,-0.01,0.04,0.00,0.02
Kyle Beckerman,RSL,2019,2299,0.71,0.17,0.00,0.02,-0.01,-0.02,0.42,0.13,0.01,0.11,0.04,0.00,0.02
Seth Sinovic,SKC,2019,2076,0.46,0.05,0.00,0.02,-0.02,-0.02,0.32,0.05,0.02,0.03,0.04,0.00,0.01
Samuel Piette,MTL,2019,2428,0.47,0.04,0.00,0.01,-0.01,-0.01,0.47,0.00,0.03,-0.03,0.04,0.00,0.00
José Bizama,HOU,2019,388,0.49,0.25,0.00,0.04,-0.03,-0.04,0.00,0.00,0.00,0.00,0.04,0.00,0.01
Harold Cummings,SJE,2019,1520,0.06,0.06,0.00,0.00,0.00,0.00,0.19,0.00,0.03,-0.03,0.03,0.00,0.00
Andrew Putna,RSL,2019,493,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.03,-0.03,0.03,0.00,0.00
Niko Hämäläinen,LAFC,2019,113,0.00,0.00,0.00,0.00,0.00,0.00,0.85,0.85,0.03,0.82,0.03,0.00,0.00
Matt Besler,SKC,2019,2308,0.08,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.03,-0.03,0.03,0.00,0.00
Brent Kallman,MIN,2019,1420,0.07,0.00,0.00,0.01,-0.01,-0.01,0.07,0.07,0.02,0.05,0.03,0.00,0.01
Eriq Zavaleta,TOR,2019,1112,0.43,0.09,0.00,0.02,0.00,-0.02,0.17,0.00,0.01,-0.01,0.03,0.00,0.01
Jalil Anibaba,NER,2019,1951,0.25,0.10,0.05,0.02,0.02,0.03,0.10,0.00,0.01,-0.01,0.03,0.03,0.01
Danilo Acosta,ORL,2019,729,0.13,0.00,0.00,0.01,-0.01,-0.01,0.13,0.00,0.02,-0.02,0.03,0.00,0.01
Michael Mancienne,NER,2019,1322,0.29,0.07,0.07,0.03,-0.02,0.04,0.00,0.00,0.00,0.00,0.03,0.05,0.02
Sam Vines,COL,2019,2381,0.20,0.00,0.00,0.01,-0.01,-0.01,0.20,0.00,0.02,-0.02,0.03,0.00,0.00
Marcelo,CHI,2019,1268,0.38,0.08,0.00,0.03,-0.02,-0.03,0.00,0.00,0.00,0.00,0.03,0.00,0.01
Andreu Fontàs,SKC,2019,1073,0.27,0.09,0.00,0.02,0.00,-0.02,0.27,0.00,0.01,-0.01,0.03,0.00,0.01
Fabinho,PHI,2019,100,1.92,0.00,0.00,0.03,-0.03,-0.03,0.00,0.00,0.00,0.00,0.03,0.00,0.03
Víctor Cabrera,MTL,2019,1298,0.67,0.07,0.00,0.02,-0.02,-0.02,0.22,0.00,0.01,-0.01,0.03,0.00,0.02
Lamine Sané,ORL,2019,2521,0.30,0.04,0.00,0.02,-0.01,-0.02,0.30,0.00,0.01,-0.01,0.03,0.00,0.01
Tommy McCabe,CIN,2019,283,0.34,0.00,0.00,0.03,-0.03,-0.03,0.00,0.00,0.00,0.00,0.03,0.00,0.00
Grant Lillard,CHI,2019,229,0.42,0.00,0.00,0.03,-0.03,-0.03,0.00,0.00,0.00,0.00,0.03,0.00,0.01
Robin Jansson,ORL,2019,2663,0.36,0.00,0.00,0.02,-0.02,-0.02,0.04,0.00,0.00,0.00,0.03,0.00,0.02
Maxime Chanot,NYC,2019,3111,0.37,0.03,0.00,0.02,-0.01,-0.02,0.19,0.00,0.01,-0.01,0.02,0.00,0.01
Chris Mavinga,TOR,2019,2316,0.21,0.08,0.00,0.01,0.00,-0.01,0.25,0.00,0.01,-0.01,0.02,0.00,0.01
Jordy Delem,SEA,2019,1584,0.42,0.00,0.00,0.02,-0.02,-0.02,0.12,0.00,0.00,0.00,0.02,0.00,0.02
Raymon Gaddis,PHI,2019,3242,0.09,0.00,0.00,0.01,-0.01,-0.01,0.21,0.03,0.01,0.02,0.02,0.00,0.01
Jukka Raitala,MTL,2019,2294,0.21,0.04,0.00,0.01,-0.01,-0.01,0.21,0.00,0.01,-0.01,0.02,0.00,0.01
Sean Nealis,NYRB,2019,525,0.37,0.18,0.18,0.02,0.09,0.16,0.00,0.00,0.00,0.00,0.02,0.17,0.02
Aboubacar Keita,CLB,2019,889,0.22,0.00,0.00,0.02,-0.02,-0.02,0.00,0.00,0.00,0.00,0.02,0.00,0.02
Abdul Rwatubyaye,SKC,2019,180,1.07,0.00,0.00,0.02,-0.02,-0.02,0.00,0.00,0.00,0.00,0.02,0.00,0.00
Aljaz Struna,HOU,2019,2885,0.13,0.07,0.00,0.02,0.00,-0.02,0.20,0.03,0.01,0.03,0.02,0.00,0.02
Justin Hoyte,CIN,2019,1617,0.18,0.06,0.00,0.01,-0.01,-0.01,0.30,0.00,0.01,-0.01,0.02,0.00,0.01
Jonathan Bornstein,CHI,2019,990,0.19,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.02,-0.02,0.02,0.00,0.00
Edwin Cerrillo,FCD,2019,1017,0.38,0.00,0.00,0.01,-0.01,-0.01,0.57,0.00,0.01,-0.01,0.02,0.00,0.00
Deklan Wynne,COL,2019,1010,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.02,-0.02,0.02,0.00,0.00
Kamal Miller,ORL,2019,1497,0.06,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.02,-0.02,0.02,0.00,0.00
Connor Maloney,CLB,2019,871,0.44,0.11,0.00,0.02,-0.01,-0.02,0.11,0.00,0.00,0.00,0.02,0.00,0.01
Andrew Farrell,NER,2019,2864,0.03,0.00,0.00,0.00,0.00,0.00,0.07,0.03,0.02,0.02,0.02,0.00,0.00
Tony Rocha,NYC,2019,1000,0.19,0.00,0.00,0.00,0.00,0.00,0.38,0.00,0.01,-0.01,0.02,0.00,0.00
Jalen Robinson,DCU,2019,475,0.20,0.00,0.00,0.01,-0.01,-0.01,0.20,0.00,0.01,-0.01,0.02,0.00,0.01
Wilfried Moimbé,MIN,2019,354,0.54,0.00,0.00,0.01,-0.01,-0.01,0.27,0.00,0.01,-0.01,0.02,0.00,0.01
Dejan Jakovic,LAFC,2019,200,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.00,0.02,-0.02,0.02,0.00,0.00
Vito Mannone,MIN,2019,3357,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.02,-0.02,0.02,0.00,0.00
James Sands,NYC,2019,1634,0.12,0.06,0.00,0.00,0.00,0.00,0.24,0.00,0.01,-0.01,0.01,0.00,0.00
Drew Moor,TOR,2019,1134,0.08,0.08,0.00,0.01,0.00,-0.01,0.08,0.00,0.00,0.00,0.01,0.00,0.01
Felipe Hernandez,SKC,2019,108,0.89,0.00,0.00,0.01,-0.01,-0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.01
Jasser Khmiri,VAN,2019,98,0.98,0.00,0.00,0.01,-0.01,-0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.01
Forrest Lasso,CIN,2019,430,0.45,0.22,0.00,0.01,0.00,-0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.01
Brian Rowe,ORL,2019,3189,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.01,-0.01,0.01,0.00,0.00
Mark McKenzie,PHI,2019,587,0.16,0.00,0.00,0.01,-0.01,-0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.01
Kevin Garcia,HOU,2019,916,0.10,0.00,0.00,0.01,-0.01,-0.01,0.10,0.00,0.00,0.00,0.01,0.00,0.01
Marco Farfan,POR,2019,211,0.00,0.00,0.00,0.00,0.00,0.00,0.45,0.00,0.01,-0.01,0.01,0.00,0.00
Servando Carrasco,LAG,2019,482,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.01,-0.01,0.01,0.00,0.00
Shaft Brewer,LAFC,2019,103,0.93,0.00,0.00,0.01,-0.01,-0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.01
Justin Portillo,RSL,2019,207,0.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Clint Irwin,COL,2019,999,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00
Joe Willis,HOU,2019,2687,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00
Sean Johnson,NYC,2019,2896,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00
Tim Howard,COL,2019,2378,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00
Jesse González,FCD,2019,3205,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00
David Bingham,LAG,2019,3259,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00
