Player,Team,Season,Minutes,Shots,SoT,G,xG,xPlace,G-xG,KeyP,Assists,xA,A-xA,xG+xA,xPA through goals,xPA through shots
Memo Rodríguez,HOU,2019,1526,47,20,7,6.05,0.38,0.95,27,2,2.71,-0.71,8.76,4.09,3.54
Eduard Atuesta,LAFC,2019,2874,43,17,3,3.16,1.37,-0.16,48,8,5.59,2.41,8.75,0.81,1.86
Jefferson Savarino,RSL,2019,2496,79,37,8,5.57,1.09,2.43,41,4,3.15,0.85,8.72,5.32,3.33
Juan Agudelo,NER,2019,2136,37,10,3,5.93,-1.72,-2.93,26,1,2.78,-1.78,8.72,2.04,3.99
Orji Okwonkwo,MTL,2019,1875,55,15,8,6.03,0.72,1.97,18,2,2.62,-0.62,8.65,3.20,2.91
Maximiliano Urruti,MTL,2019,2649,54,21,4,5.51,-0.67,-1.51,27,5,2.49,2.51,8.00,2.28,3.36
Luciano Acosta,DCU,2019,2362,58,19,6,4.89,0.01,1.11,28,0,2.98,-2.98,7.87,4.20,3.42
Zdenek Ondrasek,FCD,2019,855,26,15,7,6.04,0.73,0.96,11,2,1.82,0.18,7.87,1.91,1.91
Anton Tinnerholm,NYC,2019,2919,32,12,1,3.16,-0.93,-2.16,30,7,4.53,2.47,7.69,0.69,2.13
Corey Baird,RSL,2019,2258,31,14,5,4.80,1.16,0.20,27,3,2.82,0.18,7.62,2.81,2.95
Jan Gregus,MIN,2019,2923,59,16,1,1.64,0.39,-0.64,61,7,5.86,1.14,7.50,0.32,1.13
Cristian Pavón,LAG,2019,1048,34,15,3,2.97,1.10,0.03,27,5,4.50,0.50,7.47,2.33,2.10
Marc Rzatkowski,NYRB,2019,2546,41,15,2,2.39,-1.06,-0.39,59,3,5.01,-2.01,7.40,1.55,1.49
Brian White,NYRB,2019,1441,29,12,9,6.40,0.18,2.60,11,1,0.99,0.01,7.40,5.67,3.83
Rolf Feltscher,LAG,2019,2370,17,3,1,3.16,-1.98,-2.16,21,3,4.06,-1.06,7.22,0.52,2.95
Sam Nicholson,COL,2019,1976,49,17,2,3.92,0.46,-1.92,23,3,3.17,-0.17,7.08,2.19,2.43
Nick DeLeon,TOR,2019,2015,42,17,6,4.67,-0.54,1.33,24,1,2.35,-1.35,7.01,4.38,3.06
Hwang In-Beom,VAN,2019,3078,48,15,3,3.28,-0.62,-0.28,47,3,3.71,-0.71,6.99,2.14,2.92
Chris Mueller,ORL,2019,1530,40,13,5,2.89,0.56,2.11,24,3,4.03,-1.03,6.92,3.14,2.09
Yordy Reyna,VAN,2019,2183,60,27,7,4.54,1.68,2.46,24,1,2.37,-1.37,6.91,4.39,3.13
Sebastian Lletget,LAG,2019,2517,32,11,3,3.06,0.27,-0.06,33,5,3.78,1.22,6.84,0.27,1.83
Alexander Ring,NYC,2019,3107,47,15,4,3.38,1.14,0.62,30,4,3.36,0.64,6.74,2.09,2.08
Allan Cruz,CIN,2019,1876,38,21,7,5.45,1.94,1.55,16,0,1.29,-1.29,6.73,3.98,2.88
Bradley Wright-Phillips,NYRB,2019,1273,33,11,2,4.96,-2.07,-2.96,12,1,1.73,-0.73,6.68,2.02,3.61
Juan Fernando Caicedo,NER,2019,1201,26,9,5,5.94,0.03,-0.94,9,2,0.72,1.28,6.66,2.99,3.43
Cristian Roldan,SEA,2019,2783,31,10,6,3.09,0.94,2.91,33,3,3.38,-0.38,6.47,4.37,2.53
Kevin Molino,MIN,2019,978,29,9,3,3.18,-0.16,-0.18,21,4,3.22,0.78,6.40,1.13,1.68
Ilsinho,PHI,2019,1230,22,10,5,1.98,1.98,3.02,29,5,4.27,0.73,6.25,3.16,1.05
Sam Johnson,RSL,2019,1407,31,12,9,5.85,0.30,3.15,8,0,0.36,-0.36,6.21,5.43,3.26
Alejandro Bedoya,PHI,2019,3118,27,9,4,2.33,0.26,1.67,37,3,3.78,-0.78,6.11,3.68,1.49
Lucas Rodríguez,DCU,2019,2966,41,12,6,4.37,-0.50,1.63,23,3,1.69,1.31,6.06,3.96,2.95
Haris Medunjanin,PHI,2019,3374,34,7,1,1.24,-0.18,-0.24,65,4,4.80,-0.80,6.04,0.83,0.87
Marco Delgado,TOR,2019,2767,41,8,2,2.46,-0.35,-0.46,39,4,3.58,0.42,6.04,1.35,1.65
Romell Quioto,HOU,2019,889,27,12,2,2.84,0.27,-0.84,19,2,3.18,-1.18,6.02,0.56,2.05
Jonathan Osorio,TOR,2019,1921,27,14,5,4.47,0.83,0.53,15,2,1.52,0.48,6.00,4.53,2.77
Gustavo Bou,NER,2019,1265,61,25,9,4.72,0.52,4.28,14,0,1.24,-1.24,5.96,6.35,3.27
Paxton Pomykal,FCD,2019,2083,28,10,2,2.39,-0.42,-0.39,36,2,3.52,-1.52,5.91,0.74,1.06
Jack Price,COL,2019,2442,4,2,1,0.16,0.01,0.84,77,10,5.73,4.27,5.89,0.55,0.08
Jackson Yueill,SJE,2019,2953,36,8,3,2.46,-0.49,0.54,47,4,3.37,0.63,5.83,1.67,1.32
Darren Mattocks,CIN,2019,1385,27,9,3,3.47,0.00,-0.47,17,2,2.21,-0.21,5.68,1.78,2.36
Ryan Hollingshead,FCD,2019,3286,44,17,6,3.98,1.51,2.02,22,1,1.70,-0.70,5.68,5.24,3.52
Ezequiel Barco,ATL,2019,1046,32,16,4,3.05,1.85,0.95,32,2,2.62,-0.62,5.67,2.50,1.76
Benny Feilhaber,"SKC, COL",2019,1868,28,6,4,3.11,-0.64,0.89,21,3,2.55,0.45,5.65,3.08,2.45
Brenden Aaronson,PHI,2019,1825,34,9,3,3.73,-1.63,-0.73,24,1,1.91,-0.91,5.64,2.24,2.20
Ruan,ORL,2019,2330,8,4,0,0.83,-0.58,-0.83,16,4,4.77,-0.77,5.60,0.00,0.96
Justin Meram,"CLB, ATL",2019,1783,27,11,4,2.44,0.41,1.56,32,0,3.08,-3.08,5.51,3.19,1.85
Reto Ziegler,FCD,2019,3208,26,13,5,5.15,0.47,-0.15,7,0,0.37,-0.37,5.51,2.65,3.55
Tomás Martínez,HOU,2019,2486,53,11,5,3.50,0.12,1.50,32,2,1.98,0.02,5.48,2.92,2.31
Cristhian Paredes,POR,2019,1805,37,10,4,3.82,-0.39,0.18,18,2,1.61,0.39,5.43,1.53,2.63
Víctor Rodríguez,SEA,2019,1186,26,10,2,2.94,0.07,-0.94,28,3,2.49,0.51,5.43,1.57,1.73
Héctor Villalba,ATL,2019,1030,36,9,1,3.19,-1.31,-2.19,14,3,2.11,0.89,5.30,0.59,1.63
Robinho,"ORL, CLB",2019,1444,39,13,0,3.59,-1.76,-3.59,12,2,1.70,0.30,5.29,0.00,1.73
Jordan Hamilton,"CLB, TOR",2019,767,24,12,4,5.25,-1.17,-1.25,1,0,0.04,-0.04,5.29,3.94,4.32
Francisco Calvo,"CHI, MIN",2019,2811,43,11,4,3.59,-0.52,0.41,17,1,1.69,-0.69,5.28,4.04,3.21
Frédéric Brillant,DCU,2019,3262,27,9,2,4.55,-0.57,-2.55,7,1,0.72,0.28,5.28,0.52,2.18
Darlington Nagbe,ATL,2019,3071,21,4,2,1.33,0.29,0.67,33,4,3.95,0.05,5.28,0.95,0.92
Brandon Bye,NER,2019,2925,22,7,2,2.28,-0.58,-0.28,24,2,2.95,-0.95,5.23,1.57,1.86
Ulises Segura,DCU,2019,1985,28,7,3,2.60,0.29,0.40,22,1,2.58,-1.58,5.18,1.45,1.75
Kekuta Manneh,CIN,2019,1651,29,9,4,2.53,0.43,1.47,22,3,2.65,0.35,5.18,2.63,1.31
Adam Lundkvist,HOU,2019,2642,6,0,0,0.24,-0.24,-0.24,32,3,4.92,-1.92,5.16,0.00,0.17
Jonathan Lewis,"COL, NYC",2019,1228,17,9,5,2.17,1.95,2.83,19,4,2.98,1.02,5.15,3.27,1.27
Favio Álvarez,LAG,2019,1330,32,13,3,2.47,0.88,0.53,24,4,2.67,1.34,5.14,2.22,1.70
Alex Muyl,NYRB,2019,1542,23,11,3,2.77,0.40,0.23,14,2,2.34,-0.34,5.11,2.65,2.08
Jonathan dos Santos,LAG,2019,2769,14,5,2,1.25,0.14,0.75,41,3,3.84,-0.84,5.08,1.27,0.76
Federico Higuaín,CLB,2019,1222,19,7,1,1.92,0.38,-0.92,28,3,3.12,-0.12,5.05,0.40,0.83
Ilie Sánchez,SKC,2019,2767,20,4,2,2.27,-0.50,-0.27,19,4,2.72,1.28,4.99,0.70,1.07
Brad Smith,SEA,2019,2146,11,4,0,0.44,-0.23,-0.44,26,5,4.54,0.46,4.98,0.00,0.19
Lucas Venuto,VAN,2019,1266,14,6,3,2.36,0.45,0.64,16,1,2.55,-1.55,4.90,2.85,1.25
Abu Danladi,MIN,2019,843,22,6,2,2.95,0.39,-0.95,10,2,1.89,0.11,4.84,1.68,2.40
Jack Elliott,PHI,2019,3374,25,10,2,3.45,0.55,-1.45,10,0,1.32,-1.32,4.77,1.74,2.35
Ali Adnan,VAN,2019,2644,38,14,1,2.64,-0.21,-1.64,26,3,2.06,0.94,4.70,0.67,1.64
Kelvin Leerdam,SEA,2019,2611,21,5,5,1.81,1.35,3.19,22,2,2.87,-0.87,4.68,3.72,1.25
Diego Fagundez,NER,2019,1286,22,8,2,2.75,-0.49,-0.75,19,3,1.92,1.08,4.67,0.23,2.04
Chris Pontius,LAG,2019,806,18,5,2,2.83,-0.58,-0.83,11,2,1.84,0.16,4.67,1.45,1.79
Jesús Medina,NYC,2019,839,16,8,3,3.76,-0.32,-0.76,12,0,0.81,-0.81,4.57,3.23,3.38
Lee Nguyen,LAFC,2019,1323,18,7,0,1.16,0.61,-1.16,32,4,3.39,0.61,4.56,0.00,0.50
Djordje Mihailovic,CHI,2019,1600,24,8,3,2.19,0.46,0.81,32,1,2.36,-1.36,4.55,1.62,1.07
Brandon Vázquez,ATL,2019,703,22,8,2,3.52,-1.65,-1.52,7,1,0.99,0.01,4.52,0.18,1.57
Romain Métanire,MIN,2019,2655,11,3,1,0.41,-0.01,0.59,41,4,4.09,-0.09,4.50,0.61,0.28
Mason Toye,MIN,2019,901,27,13,6,3.71,0.16,2.29,5,1,0.78,0.22,4.49,4.36,3.40
Leonardo Jara,DCU,2019,2540,34,4,1,1.74,-0.66,-0.74,20,5,2.75,2.25,4.49,0.48,1.36
Ronald Matarrita,NYC,2019,2163,25,6,1,1.83,-0.97,-0.83,29,1,2.65,-1.65,4.48,0.60,0.89
Tommy McNamara,HOU,2019,1730,18,8,2,2.09,-0.34,-0.09,21,3,2.39,0.61,4.47,1.70,1.81
Emmanuel Boateng,"LAG, DCU",2019,1062,14,5,1,2.52,-1.30,-1.52,16,0,1.95,-1.95,4.47,0.60,1.68
Keegan Rosenberry,COL,2019,3377,24,2,1,1.19,-0.89,-0.19,31,3,3.23,-0.23,4.42,0.38,0.79
Miguel Ibarra,MIN,2019,1655,23,3,1,2.24,-1.29,-1.24,17,1,2.16,-1.16,4.40,0.44,1.64
Graham Zusi,SKC,2019,2587,37,7,0,1.39,-1.01,-1.39,21,1,2.96,-1.96,4.35,0.00,0.98
Justin Morrow,TOR,2019,2565,15,5,1,1.49,-0.84,-0.49,22,3,2.86,0.14,4.35,1.29,1.18
David Accam,"PHI, CLB",2019,1127,24,12,6,3.04,1.27,2.96,12,3,1.31,1.69,4.35,3.63,1.99
Ismael Tajouri-Shradi,NYC,2019,1033,26,11,5,1.95,0.66,3.05,18,3,2.39,0.61,4.34,2.81,1.24
Santiago Mosquera,FCD,2019,1303,36,13,3,2.86,0.88,0.14,15,1,1.46,-0.46,4.32,1.35,1.98
Sebastián Saucedo,RSL,2019,1304,41,15,2,2.09,0.03,-0.09,30,3,2.09,0.91,4.18,1.06,1.41
Roland Lamah,CIN,2019,1924,29,11,1,1.82,-0.34,-0.82,25,3,2.36,0.64,4.18,1.62,1.38
Gianluca Busio,SKC,2019,1046,27,11,3,3.54,-0.16,-0.54,12,1,0.59,0.41,4.13,1.96,1.41
Harry Shipp,SEA,2019,1539,32,12,5,2.75,1.04,2.25,16,1,1.28,-0.28,4.04,4.00,1.96
Jordan Harvey,LAFC,2019,2556,11,3,1,1.86,-0.06,-0.86,19,3,2.16,0.84,4.02,0.63,1.19
Benji Michel,ORL,2019,1071,11,9,5,3.42,1.72,1.58,6,0,0.60,-0.60,4.02,4.98,2.61
Tommy Smith,COL,2019,2659,23,9,3,3.43,-0.74,-0.43,7,1,0.57,0.43,4.00,2.57,2.77
Bryan Acosta,FCD,2019,2309,54,11,2,2.01,-0.38,-0.01,22,1,1.96,-0.96,3.97,0.53,1.22
Kellyn Acosta,COL,2019,2865,35,12,2,1.74,-0.12,0.26,17,1,2.22,-1.22,3.96,1.16,0.98
Dax McCarty,CHI,2019,3095,21,6,1,2.23,-1.20,-1.23,30,2,1.69,0.31,3.92,0.54,1.73
Jorge Moreira,POR,2019,2482,29,7,2,1.37,0.59,0.63,34,2,2.53,-0.53,3.90,0.64,0.76
Cristian Cásseres Jr,NYRB,2019,1986,25,6,3,1.71,0.04,1.29,22,3,2.17,0.83,3.88,1.38,0.76
Richie Laryea,TOR,2019,1600,17,4,1,2.16,-0.67,-1.16,10,1,1.71,-0.71,3.88,0.66,1.64
Keaton Parks,NYC,2019,1508,21,12,1,2.15,0.61,-1.15,17,1,1.71,-0.71,3.87,0.78,1.05
Jørgen Skjelvik,LAG,2019,1846,6,1,1,0.98,-0.41,0.02,20,2,2.88,-0.88,3.86,1.41,0.66
Tom Barlow,NYRB,2019,653,15,8,3,3.23,1.06,-0.23,6,0,0.58,-0.58,3.81,2.09,1.72
Fanendo Adi,CIN,2019,780,20,6,1,3.69,-1.95,-2.69,3,0,0.08,-0.08,3.77,1.05,2.06
Sergio Santos,PHI,2019,710,21,7,4,3.26,-0.75,0.74,6,1,0.46,0.54,3.72,1.18,1.53
Bacary Sagna,MTL,2019,2390,13,4,1,0.73,0.04,0.27,22,2,2.99,-0.99,3.72,1.17,0.63
Boniek García,HOU,2019,2822,16,3,0,0.96,-0.06,-0.96,35,1,2.74,-1.74,3.70,0.00,0.89
Sacha Kljestan,ORL,2019,1530,19,6,1,1.44,-0.03,-0.44,20,2,2.24,-0.24,3.68,0.99,1.06
Ike Opara,MIN,2019,2814,22,5,3,2.95,-0.11,0.05,8,1,0.70,0.30,3.65,1.24,1.91
Auro,TOR,2019,2035,8,3,0,0.42,-0.15,-0.42,18,3,3.21,-0.21,3.63,0.00,0.29
Aaron Herrera,RSL,2019,3028,19,5,0,0.68,-0.24,-0.68,27,3,2.87,0.13,3.54,0.00,0.44
Luis Díaz,CLB,2019,883,18,9,2,1.37,0.49,0.63,13,3,2.07,0.93,3.44,1.25,0.76
Lassi Lappalainen,MTL,2019,746,17,9,5,2.94,0.95,2.06,5,0,0.33,-0.33,3.27,2.40,1.50
Anthony Jackson-Hamel,MTL,2019,702,16,6,3,2.26,-0.52,0.74,5,0,1.01,-1.01,3.27,0.74,1.58
Michael Bradley,TOR,2019,2593,22,5,3,1.81,0.78,1.19,25,1,1.43,-0.43,3.24,1.30,1.26
Patrick Mullins,"TOR, CLB",2019,637,15,4,2,2.44,-0.36,-0.44,6,0,0.80,-0.80,3.24,1.65,1.57
Santiago Patiño,ORL,2019,398,12,3,2,2.64,-0.75,-0.64,3,1,0.56,0.44,3.20,1.89,2.37
Mathieu Deplagne,CIN,2019,3155,23,7,1,2.34,-0.45,-1.34,9,1,0.85,0.15,3.19,0.09,1.45
Erik Hurtado,SKC,2019,899,20,9,2,2.76,-0.81,-0.76,6,0,0.43,-0.43,3.18,2.05,1.85
Kenny Saief,CIN,2019,619,5,2,1,1.31,0.23,-0.31,11,2,1.86,0.14,3.18,0.40,0.76
Gary Mackay-Steven,NYC,2019,597,17,7,1,2.18,-0.30,-1.18,11,1,0.97,0.03,3.16,0.59,1.36
Dairon Asprilla,POR,2019,624,21,7,2,2.91,0.06,-0.91,3,0,0.22,-0.22,3.13,2.47,3.03
Steven Birnbaum,DCU,2019,3353,29,6,1,2.48,-1.29,-1.48,5,0,0.65,-0.65,3.13,0.60,1.45
Youness Mokhtar,CLB,2019,482,14,5,1,1.37,-0.93,-0.37,10,0,1.76,-1.76,3.12,1.06,1.23
Kai Wagner,PHI,2019,2951,6,0,0,0.26,-0.26,-0.26,30,6,2.80,3.20,3.06,0.00,0.09
Daniel Steres,LAG,2019,2860,20,6,3,2.45,0.18,0.55,6,0,0.60,-0.60,3.05,1.95,1.71
Fabian Herbers,CHI,2019,873,18,6,3,2.17,0.28,0.83,12,1,0.88,0.12,3.04,1.40,0.90
Jorge Villafaña,POR,2019,2138,8,0,0,0.33,-0.33,-0.33,31,4,2.71,1.29,3.04,0.00,0.14
Zakaria Diallo,MTL,2019,2233,11,3,3,1.96,0.07,1.04,5,2,1.06,0.94,3.02,2.47,1.16
Yohan Croizet,SKC,2019,1214,24,12,3,1.99,-0.12,1.01,12,1,0.94,0.06,2.94,1.57,0.98
Joe Corona,LAG,2019,2537,18,4,1,1.43,-0.07,-0.43,19,1,1.51,-0.51,2.93,0.76,1.01
Tsubasa Endoh,TOR,2019,929,19,11,3,1.74,1.00,1.26,11,2,1.16,0.84,2.90,1.65,1.04
Diego Polenta,LAG,2019,2764,18,4,1,0.83,0.02,0.17,17,2,2.06,-0.06,2.89,1.67,0.54
Omir Fernandez,NYRB,2019,680,12,6,2,1.99,-0.44,0.01,7,1,0.90,0.10,2.89,0.10,1.21
Felipe,"DCU, VAN",2019,2102,12,3,1,1.56,-0.32,-0.56,19,0,1.33,-1.33,2.89,1.06,1.41
Bojan Krkić,MTL,2019,650,18,6,3,2.45,0.68,0.55,6,0,0.43,-0.43,2.88,2.57,1.52
Luis Argudo,CLB,2019,1191,19,6,1,1.65,-0.68,-0.65,8,2,1.21,0.79,2.86,0.58,1.25
Brandon Servania,FCD,2019,1247,26,9,2,2.09,-0.12,-0.09,14,1,0.76,0.24,2.84,1.70,1.62
Tristan Blackmon,LAFC,2019,1510,9,2,1,0.90,-0.20,0.10,15,4,1.93,2.07,2.82,0.01,0.42
Michael Murillo,NYRB,2019,1883,12,3,1,0.69,-0.04,0.31,17,2,2.13,-0.13,2.82,0.09,0.34
Harrison Afful,CLB,2019,2101,19,8,0,0.73,0.09,-0.73,16,2,2.07,-0.07,2.80,0.00,0.62
Shamit Shome,MTL,2019,1783,8,3,1,1.75,-0.68,-0.75,9,1,1.02,-0.02,2.77,1.05,1.56
Nicolas Benezet,TOR,2019,472,14,4,2,2.55,-0.83,-0.55,5,0,0.22,-0.22,2.77,1.02,2.06
Edgar Castillo,NER,2019,1832,16,1,0,0.56,-0.55,-0.56,14,5,2.20,2.80,2.76,0.00,0.25
Theo Bair,VAN,2019,909,12,7,2,2.34,-0.16,-0.34,9,2,0.42,1.58,2.75,1.48,1.77
Roger Espinoza,SKC,2019,1223,16,6,0,1.11,-0.32,-1.11,20,1,1.61,-0.61,2.71,0.00,1.00
Diego Chara,POR,2019,2910,7,1,0,1.12,-0.82,-1.12,25,1,1.57,-0.57,2.70,0.00,0.31
Will Johnson,ORL,2019,1847,28,6,1,2.09,-1.54,-1.09,12,1,0.58,0.42,2.66,0.31,1.28
DeJuan Jones,NER,2019,1448,13,4,1,1.55,0.22,-0.55,10,0,1.08,-1.08,2.63,0.65,1.25
Ignacio Piatti,MTL,2019,826,20,4,3,1.81,-1.34,1.19,10,1,0.78,0.22,2.59,1.26,0.90
Carlos Ascues,ORL,2019,1227,9,3,1,1.62,-1.23,-0.62,8,1,0.97,0.03,2.59,0.08,0.99
Marvin Loría,POR,2019,893,20,13,2,1.53,1.18,0.47,11,0,1.05,-1.05,2.58,1.54,0.60
Zachary Brault-Guillard,MTL,2019,968,11,5,0,0.59,-0.22,-0.59,13,1,1.98,-0.98,2.58,0.00,0.16
Tommy Thompson,SJE,2019,2468,13,4,2,1.06,0.05,0.94,21,1,1.50,-0.50,2.56,0.74,0.58
Tomás Conechny,POR,2019,437,10,5,1,1.35,0.25,-0.35,6,2,1.20,0.80,2.55,0.80,0.92
Cole Bassett,COL,2019,1146,13,7,2,1.68,0.37,0.32,11,1,0.86,0.14,2.53,2.22,1.12
Josh Pérez,LAFC,2019,532,12,6,1,1.87,-0.23,-0.87,6,1,0.65,0.35,2.52,0.00,0.45
Brandt Bronico,CHI,2019,2066,14,5,1,0.57,0.56,0.43,14,2,1.93,0.07,2.50,0.05,0.24
Leandro González Pirez,ATL,2019,2936,22,5,1,1.88,-0.86,-0.88,10,0,0.62,-0.62,2.50,0.60,1.14
Kelyn Rowe,"SKC, RSL",2019,967,23,7,0,1.70,-0.86,-1.70,7,1,0.79,0.21,2.50,0.00,0.94
Frankie Amaya,CIN,2019,1341,16,5,0,0.79,-0.12,-0.79,24,0,1.69,-1.69,2.48,0.00,0.30
Bastian Schweinsteiger,CHI,2019,2927,24,4,1,1.09,-0.07,-0.09,17,2,1.38,0.62,2.47,1.62,0.77
Russell Teibert,VAN,2019,2370,8,2,0,0.62,-0.14,-0.62,14,3,1.83,1.17,2.45,0.00,0.35
Jay Chapman,TOR,2019,610,7,2,2,0.73,-0.15,1.27,9,2,1.72,0.28,2.45,0.30,0.38
Daniel Lovitz,MTL,2019,2764,12,6,0,0.51,0.00,-0.51,19,1,1.92,-0.92,2.43,0.00,0.30
Leonardo Bertone,CIN,2019,2261,28,5,1,0.94,0.39,0.06,18,1,1.44,-0.44,2.38,0.60,0.64
Brooks Lennon,RSL,2019,1745,10,2,0,0.93,-0.60,-0.93,19,1,1.45,-0.45,2.38,0.00,0.22
Tosaint Ricketts,VAN,2019,518,10,5,1,1.57,0.08,-0.57,5,1,0.79,0.21,2.36,0.97,1.18
Brian Rodríguez,LAFC,2019,411,17,5,0,1.65,-1.32,-1.65,11,0,0.69,-0.69,2.34,0.00,1.27
Wilfried Zahibo,NER,2019,1660,14,3,1,1.72,0.03,-0.72,10,1,0.61,0.39,2.33,0.59,1.06
Andy Polo,POR,2019,1186,15,3,0,0.92,-0.14,-0.92,16,1,1.39,-0.39,2.31,0.00,0.69
Omar Browne,MTL,2019,622,16,4,2,1.64,0.56,0.36,11,0,0.66,-0.66,2.30,2.14,1.67
Eddie Segura,LAFC,2019,3249,16,2,1,1.70,-1.05,-0.70,4,0,0.61,-0.61,2.30,0.34,1.06
Efrain Álvarez,LAG,2019,597,12,5,0,0.84,0.28,-0.84,12,3,1.44,1.56,2.28,0.00,0.34
Sean Davis,NYRB,2019,2821,13,3,0,0.49,-0.10,-0.49,21,1,1.79,-0.79,2.27,0.00,0.33
Danny Wilson,COL,2019,1464,13,5,2,1.82,0.37,0.18,5,1,0.45,0.55,2.27,1.65,1.02
Héctor Jiménez,CLB,2019,1756,7,3,1,0.49,0.33,0.51,14,2,1.77,0.23,2.26,0.09,0.25
Auston Trusty,PHI,2019,2156,11,4,1,1.74,-0.29,-0.74,5,0,0.49,-0.49,2.24,1.03,1.17
Victor Ulloa,CIN,2019,2135,9,3,1,0.46,-0.15,0.54,24,1,1.78,-0.78,2.24,0.10,0.13
Maynor Figueroa,HOU,2019,2480,28,4,0,0.95,-0.29,-0.95,9,1,1.29,-0.29,2.23,0.00,0.64
Matt Hedges,FCD,2019,3206,13,3,1,1.61,-0.17,-0.61,5,0,0.62,-0.62,2.23,0.49,0.89
David Guzmán,"POR, CLB",2019,1625,21,3,0,0.96,-0.28,-0.96,11,1,1.26,-0.26,2.22,0.00,0.80
Nick Lima,SJE,2019,2004,17,4,1,0.56,-0.32,0.44,20,2,1.64,0.36,2.20,0.62,0.32
Cory Burke,PHI,2019,546,14,5,2,1.91,-0.83,0.09,3,0,0.27,-0.27,2.18,1.62,1.08
Quincy Amarikwa,DCU,2019,560,13,4,1,1.54,-0.51,-0.54,7,0,0.62,-0.62,2.16,1.24,1.03
Donny Toia,RSL,2019,2319,11,2,1,0.91,-0.02,0.09,14,1,1.24,-0.24,2.15,0.93,0.61
Franco Escobar,ATL,2019,2199,7,2,1,0.71,0.02,0.29,11,2,1.44,0.56,2.14,0.63,0.30
Reggie Cannon,FCD,2019,2523,10,1,1,0.50,-0.41,0.50,13,1,1.64,-0.64,2.14,0.71,0.32
Kim Kee-hee,SEA,2019,2887,14,1,0,1.55,-1.41,-1.55,7,0,0.59,-0.59,2.14,0.00,0.97
Júnior Moreno,DCU,2019,2818,12,3,0,0.60,-0.21,-0.60,20,2,1.51,0.49,2.11,0.00,0.38
Brek Shea,ATL,2019,1018,8,3,0,0.55,-0.10,-0.55,16,0,1.55,-1.55,2.10,0.00,0.24
Joao Plata,RSL,2019,405,14,5,1,1.55,-0.55,-0.55,5,0,0.53,-0.53,2.08,1.76,1.99
Luis Caicedo,NER,2019,2575,22,2,0,1.05,-1.01,-1.05,8,0,0.99,-0.99,2.04,0.00,0.67
Michaell Chirinos,VAN,2019,441,10,6,1,1.84,0.15,-0.84,5,0,0.18,-0.18,2.02,1.00,1.44
Handwalla Bwana,SEA,2019,654,10,4,1,0.96,0.26,0.04,7,1,1.06,-0.06,2.01,0.36,0.84
Osvaldo Alonso,MIN,2019,2585,12,3,2,0.69,-0.04,1.31,15,1,1.32,-0.32,2.01,1.54,0.50
Emerson Hyndman,ATL,2019,1086,15,6,1,1.24,0.10,-0.24,11,1,0.75,0.25,1.99,1.71,1.05
Andreas Ivan,NYRB,2019,558,21,6,1,1.43,-0.21,-0.43,5,2,0.54,1.46,1.98,0.60,1.01
Larrys Mabiala,POR,2019,2108,22,7,2,1.82,0.05,0.18,2,0,0.15,-0.15,1.97,1.30,1.13
Robin Lod,MIN,2019,634,13,6,0,1.72,-0.80,-1.72,6,0,0.23,-0.23,1.95,0.00,1.23
Micheal Azira,"CHI, MTL",2019,1840,11,3,0,1.20,0.07,-1.20,13,1,0.75,0.25,1.95,0.00,1.23
Román Torres,SEA,2019,1276,14,4,1,1.80,-0.36,-0.80,1,0,0.13,-0.13,1.93,0.67,1.38
Andy Rose,VAN,2019,2048,14,4,1,1.75,-0.95,-0.75,4,1,0.16,0.84,1.91,0.91,1.39
Mauricio Pereyra,ORL,2019,430,3,1,0,0.09,-0.01,-0.09,12,3,1.82,1.18,1.91,0.00,0.03
Aaron Long,NYRB,2019,2342,19,5,2,1.67,-0.04,0.33,2,0,0.24,-0.24,1.91,1.05,1.11
Joevin Jones,SEA,2019,1022,14,7,0,0.49,-0.25,-0.49,17,2,1.42,0.58,1.91,0.00,0.33
Marcos López,SJE,2019,1252,10,4,0,0.65,0.23,-0.65,17,0,1.24,-1.24,1.89,0.00,0.30
Jacob Shaffelburg,TOR,2019,710,11,4,0,0.68,-0.02,-0.68,11,1,1.19,-0.19,1.88,0.00,0.45
Michael Boxall,MIN,2019,2819,10,3,2,1.38,0.29,0.62,4,0,0.48,-0.48,1.87,1.81,1.19
Tajon Buchanan,NER,2019,447,11,2,0,0.85,-0.73,-0.85,2,2,1.01,0.99,1.86,0.00,0.50
Steven Beitashour,LAFC,2019,2037,6,2,1,0.48,0.42,0.52,16,2,1.35,0.65,1.83,0.59,0.24
Rudy Camacho,MTL,2019,1599,9,3,1,1.42,0.11,-0.42,4,0,0.39,-0.39,1.80,0.57,0.82
J.J. Williams,CLB,2019,366,7,1,0,1.78,-1.44,-1.78,0,0,0.00,0.00,1.78,0.00,0.97
Kendall Waston,CIN,2019,2399,18,4,1,1.61,-0.71,-0.61,2,0,0.17,-0.17,1.78,0.58,1.25
Dion Pereira,ATL,2019,768,3,2,0,0.20,-0.13,-0.20,9,1,1.57,-0.57,1.77,0.00,0.05
Erik Godoy,VAN,2019,2853,13,2,1,0.96,-0.51,0.04,6,1,0.80,0.20,1.76,0.54,0.64
Kemar Lawrence,NYRB,2019,1913,5,1,1,0.44,0.42,0.56,10,0,1.31,-1.31,1.75,0.05,0.09
Tim Parker,NYRB,2019,2647,16,2,0,1.34,-1.17,-1.34,4,0,0.40,-0.40,1.74,0.00,1.00
