Player,Team,Season,Minutes,Shots,SoT,G,xG,xPlace,G-xG,KeyP,Assists,xA,A-xA,xG+xA,xPA through goals,xPA through shots
Emanuel Cecchini,SEA,2019,180,2,0,0,0.20,-0.20,-0.20,1,0,0.18,-0.18,0.38,0.00,0.03
Terrence Boyd,TOR,2019,406,4,2,0,0.37,-0.04,-0.37,0,0,0.00,0.00,0.37,0.00,0.47
John Nelson,FCD,2019,525,2,0,0,0.04,-0.04,-0.04,7,0,0.33,-0.33,0.37,0.00,0.02
Lucas Melano,POR,2019,169,2,0,0,0.24,-0.24,-0.24,1,0,0.13,-0.13,0.37,0.00,0.24
Marcelo,CHI,2019,1268,5,1,0,0.37,-0.23,-0.37,0,0,0.00,0.00,0.37,0.00,0.19
Gedion Zelalem,SKC,2019,475,3,2,0,0.20,-0.12,-0.20,4,0,0.17,-0.17,0.37,0.00,0.07
Marquinhos Pedroso,"DCU, FCD",2019,435,4,1,0,0.09,-0.05,-0.09,4,0,0.28,-0.28,0.37,0.00,0.05
Brian Rowe,ORL,2019,3189,0,0,0,0.00,0.00,0.00,1,0,0.37,-0.37,0.37,0.00,0.00
Corben Bone,CIN,2019,210,0,0,0,0.00,0.00,0.00,4,0,0.36,-0.36,0.36,0.00,0.00
Eriq Zavaleta,TOR,2019,1112,5,1,0,0.26,-0.06,-0.26,2,0,0.10,-0.10,0.36,0.00,0.16
Thomas Roberts,FCD,2019,264,3,1,0,0.08,-0.04,-0.08,3,0,0.28,-0.28,0.36,0.00,0.03
Chad Marshall,SEA,2019,779,7,1,0,0.36,-0.31,-0.36,0,0,0.00,0.00,0.36,0.00,0.31
Víctor Cabrera,MTL,2019,1298,9,1,0,0.29,-0.26,-0.29,3,0,0.07,-0.07,0.36,0.00,0.26
Justin Hoyte,CIN,2019,1617,3,1,0,0.20,-0.10,-0.20,5,0,0.16,-0.16,0.35,0.00,0.14
Axel Sjöberg,COL,2019,485,5,1,0,0.34,-0.09,-0.34,0,0,0.00,0.00,0.34,0.00,0.20
Chris Durkin,DCU,2019,727,4,1,1,0.15,0.41,0.85,2,0,0.17,-0.17,0.32,0.74,0.07
Mikey Ambrose,ATL,2019,289,0,0,0,0.00,0.00,0.00,3,0,0.32,-0.32,0.32,0.00,0.00
Mathias Jørgensen,NYRB,2019,146,4,1,0,0.31,-0.14,-0.31,0,0,0.00,0.00,0.31,0.00,0.22
André Horta,LAFC,2019,203,4,0,0,0.24,-0.24,-0.24,2,0,0.07,-0.07,0.31,0.00,0.06
Andreu Fontàs,SKC,2019,1073,3,1,0,0.19,0.03,-0.19,3,0,0.11,-0.11,0.31,0.00,0.17
Kamal Miller,ORL,2019,1497,1,0,0,0.01,-0.01,-0.01,4,0,0.29,-0.29,0.30,0.00,0.01
Matthew Real,PHI,2019,84,1,0,0,0.10,-0.10,-0.10,3,1,0.20,0.80,0.30,0.00,0.02
Bryan Reynolds,FCD,2019,180,1,0,0,0.04,-0.04,-0.04,2,1,0.25,0.75,0.29,0.00,0.08
Diego Campos,CHI,2019,485,3,1,0,0.06,-0.05,-0.06,3,0,0.23,-0.23,0.29,0.00,0.07
Ashtone Morgan,TOR,2019,360,1,1,1,0.29,0.34,0.71,0,0,0.00,0.00,0.29,0.33,0.10
Juan David Cabezas,HOU,2019,626,3,1,1,0.27,0.08,0.73,1,0,0.01,-0.01,0.28,0.65,0.12
Jeremiah Gutjahr,CHI,2019,555,1,0,0,0.03,-0.03,-0.03,4,1,0.25,0.75,0.28,0.00,0.00
Olivier Mbaizo,PHI,2019,219,1,0,0,0.07,-0.07,-0.07,2,1,0.19,0.81,0.26,0.00,0.00
Niko Hansen,"HOU, CLB",2019,371,1,0,0,0.06,-0.06,-0.06,4,0,0.21,-0.21,0.26,0.00,0.00
Thomás Chacón,MIN,2019,91,2,1,0,0.20,-0.13,-0.20,2,0,0.05,-0.05,0.25,0.00,0.20
Diedie Traore,LAG,2019,242,0,0,0,0.00,0.00,0.00,3,0,0.24,-0.24,0.24,0.00,0.00
James Sands,NYC,2019,1634,2,1,0,0.05,-0.03,-0.05,4,0,0.19,-0.19,0.24,0.00,0.03
Niki Jackson,COL,2019,63,2,1,0,0.23,-0.06,-0.23,0,0,0.00,0.00,0.23,0.00,0.41
Danny Leyva,SEA,2019,472,4,0,0,0.16,-0.16,-0.16,2,0,0.07,-0.07,0.23,0.00,0.11
Eric Alexander,CIN,2019,353,0,0,0,0.00,0.00,0.00,3,1,0.23,0.77,0.23,0.00,0.00
Alex De John,ORL,2019,435,1,0,0,0.08,-0.08,-0.08,1,0,0.14,-0.14,0.22,0.00,0.04
Danilo Acosta,ORL,2019,729,1,0,0,0.07,-0.07,-0.07,1,0,0.15,-0.15,0.22,0.00,0.06
Jonathan Bornstein,CHI,2019,990,2,0,0,0.05,-0.05,-0.05,3,0,0.16,-0.16,0.21,0.00,0.03
Edwin Cerrillo,FCD,2019,1017,4,0,0,0.09,-0.09,-0.09,6,0,0.13,-0.13,0.21,0.00,0.03
Deklan Wynne,COL,2019,1010,0,0,0,0.00,0.00,0.00,3,0,0.21,-0.21,0.21,0.00,0.00
Aboubacar Keita,CLB,2019,889,2,0,0,0.20,-0.20,-0.20,0,0,0.00,0.00,0.20,0.00,0.16
Ema Twumasi,FCD,2019,42,1,0,0,0.20,-0.20,-0.20,0,0,0.00,0.00,0.20,0.00,0.03
Kofi Opare,COL,2019,296,2,0,0,0.19,-0.19,-0.19,0,0,0.00,0.00,0.19,0.00,0.20
Michael Salazar,HOU,2019,197,1,0,0,0.11,-0.11,-0.11,1,0,0.08,-0.08,0.18,0.00,0.11
Tony Rocha,NYC,2019,1000,2,0,0,0.04,-0.04,-0.04,4,0,0.14,-0.14,0.18,0.00,0.02
Chris McCann,DCU,2019,350,2,0,0,0.18,-0.18,-0.18,0,0,0.00,0.00,0.18,0.00,0.26
Alfonso Ocampo-Chavez,SEA,2019,103,1,1,0,0.09,0.09,-0.09,1,0,0.08,-0.08,0.17,0.00,0.06
Andrew Putna,RSL,2019,493,0,0,0,0.00,0.00,0.00,2,0,0.17,-0.17,0.17,0.00,0.00
Francis Atuahene,FCD,2019,33,2,1,1,0.17,0.20,0.83,0,0,0.00,0.00,0.17,0.97,0.17
Connor Maloney,CLB,2019,871,4,1,0,0.14,-0.10,-0.14,1,0,0.02,-0.02,0.16,0.00,0.07
Drew Moor,TOR,2019,1134,1,1,0,0.14,0.01,-0.14,1,0,0.01,-0.01,0.15,0.00,0.08
Ronaldo Peña,HOU,2019,185,2,0,0,0.08,-0.08,-0.08,1,0,0.07,-0.07,0.15,0.00,0.07
José Bizama,HOU,2019,388,2,1,0,0.14,-0.11,-0.14,0,0,0.00,0.00,0.14,0.00,0.03
Andrew Carleton,ATL,2019,77,1,0,0,0.02,-0.02,-0.02,1,0,0.11,-0.11,0.14,0.00,0.01
Cristian Martínez,CHI,2019,80,3,1,0,0.10,-0.07,-0.10,1,0,0.03,-0.03,0.14,0.00,0.18
Sean Nealis,NYRB,2019,525,2,1,1,0.12,0.51,0.88,0,0,0.00,0.00,0.12,0.95,0.11
Johan Blomberg,COL,2019,99,2,0,0,0.07,-0.07,-0.07,1,0,0.03,-0.03,0.10,0.00,0.03
Kevin Garcia,HOU,2019,916,1,0,0,0.08,-0.08,-0.08,1,0,0.01,-0.01,0.09,0.00,0.05
Jalen Robinson,DCU,2019,475,1,0,0,0.04,-0.04,-0.04,1,0,0.04,-0.04,0.08,0.00,0.03
Joe Willis,HOU,2019,2687,0,0,0,0.00,0.00,0.00,1,0,0.08,-0.08,0.08,0.00,0.00
Tommy McCabe,CIN,2019,283,1,0,0,0.08,-0.08,-0.08,0,0,0.00,0.00,0.08,0.00,0.01
Douglas Martínez,RSL,2019,65,1,0,0,0.07,-0.07,-0.07,0,0,0.00,0.00,0.07,0.00,0.05
Edwin Gyasi,FCD,2019,105,2,1,0,0.05,-0.02,-0.05,1,0,0.01,-0.01,0.06,0.00,0.05
Marcus Epps,NYRB,2019,125,2,1,0,0.06,-0.05,-0.06,0,0,0.00,0.00,0.06,0.00,0.07
Javier Pérez,LAFC,2019,18,1,0,0,0.01,-0.01,-0.01,1,0,0.05,-0.05,0.06,0.00,0.02
Mark McKenzie,PHI,2019,587,1,0,0,0.06,-0.06,-0.06,0,0,0.00,0.00,0.06,0.00,0.06
Grant Lillard,CHI,2019,229,1,0,0,0.06,-0.06,-0.06,0,0,0.00,0.00,0.06,0.00,0.02
Wilfried Moimbé,MIN,2019,354,2,0,0,0.03,-0.03,-0.03,1,0,0.03,-0.03,0.06,0.00,0.02
Forrest Lasso,CIN,2019,430,2,1,0,0.05,-0.02,-0.05,0,0,0.00,0.00,0.05,0.00,0.03
Sean Johnson,NYC,2019,2896,0,0,0,0.00,0.00,0.00,1,0,0.04,-0.04,0.04,0.00,0.00
Abdul Rwatubyaye,SKC,2019,180,2,0,0,0.04,-0.04,-0.04,0,0,0.00,0.00,0.04,0.00,0.01
Clint Irwin,COL,2019,999,0,0,0,0.00,0.00,0.00,1,0,0.04,-0.04,0.04,0.00,0.00
Niko Hämäläinen,LAFC,2019,113,0,0,0,0.00,0.00,0.00,1,1,0.04,0.96,0.04,0.00,0.00
Servando Carrasco,LAG,2019,482,0,0,0,0.00,0.00,0.00,1,0,0.04,-0.04,0.04,0.00,0.00
Jesse González,FCD,2019,3205,0,0,0,0.00,0.00,0.00,1,0,0.03,-0.03,0.03,0.00,0.00
Dejan Jakovic,LAFC,2019,200,0,0,0,0.00,0.00,0.00,1,0,0.03,-0.03,0.03,0.00,0.00
Amar Sejdic,MTL,2019,71,0,0,0,0.00,0.00,0.00,1,0,0.03,-0.03,0.03,0.00,0.00
Tim Howard,COL,2019,2378,0,0,0,0.00,0.00,0.00,1,0,0.03,-0.03,0.03,0.00,0.00
David Bingham,LAG,2019,3259,0,0,0,0.00,0.00,0.00,1,0,0.03,-0.03,0.03,0.00,0.00
Fabinho,PHI,2019,100,2,0,0,0.03,-0.03,-0.03,0,0,0.00,0.00,0.03,0.00,0.03
Juninho Pereira,LAG,2019,20,0,0,0,0.00,0.00,0.00,1,0,0.02,-0.02,0.02,0.00,0.00
Marco Farfan,POR,2019,211,0,0,0,0.00,0.00,0.00,1,0,0.02,-0.02,0.02,0.00,0.00
Felipe Hernandez,SKC,2019,108,1,0,0,0.01,-0.01,-0.01,0,0,0.00,0.00,0.01,0.00,0.01
Jasser Khmiri,VAN,2019,98,1,0,0,0.01,-0.01,-0.01,0,0,0.00,0.00,0.01,0.00,0.01
Justin Portillo,RSL,2019,207,1,0,0,0.01,-0.01,-0.01,0,0,0.00,0.00,0.01,0.00,0.00
Shaft Brewer,LAFC,2019,103,1,0,0,0.01,-0.01,-0.01,0,0,0.00,0.00,0.01,0.00,0.01
