Player,Passes,Pass%,xPass%,Score,Per100,Distance,Vertical,Touch%
Eduard Atuesta,81.00,85.73%,83.74%,1.61,1.99,19.26,6.17,13.41%
Jack Price,54.29,80.88%,77.94%,1.60,2.94,23.42,5.90,10.68%
Justin Hoyte,48.62,86.57%,83.28%,1.60,3.29,20.70,5.48,9.57%
Gastón Sauro,44.67,88.28%,84.71%,1.59,3.57,21.23,6.98,8.10%
Collin Martin,47.31,86.41%,83.04%,1.59,3.36,20.99,3.06,6.81%
Josh Williams,50.72,85.19%,82.13%,1.55,3.06,21.21,8.41,8.96%
Leandro González Pirez,65.53,84.28%,81.98%,1.51,2.30,25.11,10.23,11.80%
Jorge Villafaña,53.25,77.91%,75.08%,1.50,2.82,18.29,4.09,9.52%
Daniel Kinumbe,48.00,82.35%,79.27%,1.48,3.08,17.13,-0.73,6.50%
Felipe Hernandez,16.89,78.95%,70.37%,1.45,8.57,15.37,1.88,3.36%
Sebastián Méndez,66.44,89.87%,87.70%,1.44,2.17,18.16,3.90,11.24%
Daniel Steres,43.07,84.02%,80.70%,1.43,3.32,23.81,10.89,8.53%
Maxime Chanot,51.84,84.29%,81.53%,1.43,2.75,23.47,8.72,10.12%
Jorge Moreira,57.90,76.02%,73.55%,1.43,2.46,21.26,5.56,11.35%
Cristian Roldan,57.78,84.18%,81.72%,1.42,2.46,20.07,4.87,10.81%
Jonathan Mensah,54.11,84.37%,81.75%,1.42,2.62,23.04,9.41,10.79%
Rece Buckmaster,43.58,77.49%,74.25%,1.41,3.24,15.51,6.75,9.74%
Marco Delgado,65.19,85.10%,82.96%,1.39,2.14,17.39,4.42,10.72%
Bacary Sagna,60.89,76.72%,74.43%,1.39,2.28,18.15,4.15,10.79%
Jonathan Osorio,50.52,87.04%,84.29%,1.39,2.75,16.34,1.87,7.25%
Tim Parker,34.64,73.61%,69.60%,1.39,4.01,22.58,14.70,7.07%
Omar González,54.58,82.65%,80.12%,1.38,2.54,24.70,10.50,9.58%
Edwin Cerrillo,55.41,92.33%,89.84%,1.38,2.49,18.89,2.34,9.00%
Dejan Jakovic,40.32,86.90%,83.50%,1.37,3.41,20.22,6.81,8.95%
Jack Elliott,49.45,81.59%,78.82%,1.37,2.77,24.97,11.74,9.44%
Kamal Miller,43.54,79.82%,76.68%,1.37,3.14,20.74,7.24,8.89%
Erik Godoy,46.50,81.26%,78.41%,1.33,2.85,24.41,10.20,10.04%
Justin Haak,5.33,100.00%,75.24%,1.32,24.76,9.32,9.20,0.17%
Matías Vera,46.91,91.10%,88.29%,1.32,2.81,21.66,4.00,10.28%
Amando Moreno,21.24,88.00%,81.82%,1.31,6.18,16.03,1.26,1.17%
Kai Wagner,54.59,79.50%,77.10%,1.31,2.40,18.90,2.06,10.23%
Michael Mancienne,40.38,81.29%,78.09%,1.29,3.20,23.45,10.28,8.40%
Andrés Ríos,43.35,84.56%,81.59%,1.29,2.98,17.57,4.33,3.08%
Andy Polo,46.62,84.90%,82.13%,1.29,2.76,17.71,1.71,5.56%
Djordje Mihailovic,47.94,80.98%,78.31%,1.28,2.67,19.92,3.37,6.09%
Dillon Serna,43.19,74.09%,71.15%,1.27,2.93,20.70,5.20,5.41%
A.J. DeLaGarza,44.45,81.05%,78.20%,1.26,2.85,19.67,4.03,8.97%
Ryan Hollingshead,52.21,82.82%,80.42%,1.25,2.40,18.02,2.75,10.34%
Tommy Smith,30.83,82.79%,78.74%,1.25,4.05,24.34,11.31,7.57%
Jay Chapman,44.38,81.56%,78.75%,1.25,2.81,16.71,0.64,3.16%
Julio Cascante,40.33,86.87%,83.82%,1.23,3.05,21.82,8.00,7.12%
Botond Baráth,50.83,87.77%,85.36%,1.22,2.41,23.52,6.88,9.42%
Alejandro Bedoya,51.57,85.25%,82.90%,1.21,2.35,16.37,2.20,9.23%
Lalas Abubakar,31.92,83.82%,80.03%,1.21,3.79,22.99,9.49,9.40%
Aljaz Struna,42.69,88.31%,85.49%,1.20,2.82,22.15,8.60,9.85%
Jackson Yueill,67.62,87.36%,85.58%,1.20,1.77,20.53,4.60,10.75%
Donny Toia,51.71,78.86%,76.55%,1.20,2.31,20.37,6.86,10.21%
Florian Jungwirth,57.15,86.93%,84.84%,1.19,2.09,24.29,7.65,10.46%
Jukka Raitala,49.76,85.03%,82.64%,1.19,2.39,22.26,8.14,8.74%
Cody Cropper,25.32,75.27%,70.64%,1.17,4.63,41.50,32.87,21.55%
Paxton Pomykal,50.24,83.94%,81.61%,1.17,2.33,19.24,3.03,8.56%
Dax McCarty,62.22,86.44%,84.58%,1.16,1.86,19.03,4.65,11.99%
Raheem Edwards,48.36,80.00%,77.61%,1.15,2.39,17.57,5.44,7.54%
Kyle Smith,43.49,79.26%,76.64%,1.14,2.62,17.95,4.78,7.08%
Harrison Afful,54.42,77.83%,75.77%,1.13,2.07,19.85,5.11,10.80%
Albert Rusnák,45.98,83.19%,80.74%,1.12,2.45,21.05,2.14,8.61%
Harold Cummings,58.29,86.46%,84.54%,1.12,1.92,23.63,8.62,10.98%
Michael Salazar,25.34,82.69%,78.33%,1.10,4.36,16.43,-0.54,1.70%
Justen Glad,47.72,84.09%,81.78%,1.10,2.31,22.37,9.02,9.45%
Andrés Flores,37.49,86.65%,83.71%,1.10,2.94,17.20,2.71,4.76%
Steven Birnbaum,42.32,79.70%,77.10%,1.10,2.60,21.24,11.18,8.75%
Ben Sweat,56.13,80.78%,78.83%,1.09,1.95,17.51,3.20,7.81%
Ashtone Morgan,40.27,78.81%,76.10%,1.09,2.71,16.94,3.55,3.53%
Andrew Gutman,50.83,75.26%,73.12%,1.09,2.14,19.48,7.80,9.08%
Michael Parkhurst,55.93,85.33%,83.40%,1.08,1.92,19.01,4.47,8.08%
Héctor Jiménez,51.83,79.32%,77.28%,1.06,2.04,18.41,4.65,7.96%
Micheal Azira,39.65,86.45%,83.78%,1.06,2.67,19.55,3.32,6.87%
Jorge Corrales,53.09,79.94%,77.98%,1.04,1.96,18.17,4.97,7.14%
Nedum Onuoha,40.03,87.61%,85.02%,1.03,2.58,21.43,6.25,8.61%
Maynor Figueroa,52.49,81.78%,79.82%,1.03,1.96,24.18,11.98,11.50%
Matt Lampson,20.57,90.48%,85.51%,1.02,4.97,30.36,22.49,17.01%
Jimmy Maurer,28.80,83.33%,79.80%,1.02,3.54,34.36,22.56,9.63%
Aaron Herrera,49.68,79.71%,77.66%,1.02,2.05,22.19,6.02,10.44%
Russell Teibert,36.42,86.87%,84.08%,1.02,2.79,17.37,2.62,6.91%
Richie Laryea,41.82,85.37%,82.97%,1.00,2.39,16.09,-0.91,7.28%
Reggie Cannon,50.34,83.45%,81.46%,1.00,1.99,17.01,0.49,8.97%
Bryan Reynolds,33.60,76.19%,73.24%,0.99,2.95,15.28,0.15,1.42%
Ebenezer Ofori,51.72,88.79%,86.88%,0.98,1.90,18.66,3.67,6.99%
Steven Beitashour,56.04,84.10%,82.35%,0.98,1.75,17.28,1.67,7.91%
Olivier Mbaizo,49.10,71.43%,69.47%,0.96,1.96,17.57,1.19,6.88%
Chris McCann,44.16,79.50%,77.33%,0.96,2.17,18.93,4.15,5.43%
Chase Gasper,46.38,75.47%,73.41%,0.96,2.06,20.93,5.46,10.09%
Auston Trusty,47.47,79.83%,77.85%,0.94,1.98,23.71,10.46,9.51%
Kim Kee-hee,44.66,84.59%,82.49%,0.94,2.10,23.59,9.06,8.42%
Eduardo Sosa,39.51,83.89%,81.55%,0.93,2.34,16.14,3.50,4.26%
Aurélien Collin,51.34,85.08%,83.29%,0.92,1.79,22.69,10.34,9.53%
Michael Boxall,35.18,84.61%,82.01%,0.91,2.60,21.16,7.56,8.68%
Niko Hansen,38.04,79.59%,77.19%,0.91,2.40,17.51,0.65,2.54%
Bill Tuiloma,37.38,84.10%,81.71%,0.89,2.39,24.02,10.33,7.60%
Stefan Frei,33.93,76.01%,73.44%,0.87,2.56,38.41,28.94,17.29%
Boniek García,46.71,86.53%,84.67%,0.87,1.86,18.70,3.45,9.12%
Miles Robinson,56.91,87.01%,85.49%,0.86,1.52,22.10,6.57,10.91%
Russell Canouse,49.60,86.01%,84.27%,0.86,1.74,18.06,3.91,9.76%
Andre Blake,26.45,70.57%,67.33%,0.86,3.24,40.66,33.61,15.63%
Carlos Miguel Coronel,27.20,61.00%,57.86%,0.85,3.14,46.00,39.81,15.76%
Judson,54.47,87.96%,86.39%,0.85,1.57,22.13,4.89,8.22%
Jonathan Campbell,49.48,83.50%,81.78%,0.85,1.72,23.25,8.66,10.70%
Nick Hagglund,45.61,79.32%,77.49%,0.84,1.83,25.02,10.75,9.98%
Rod Fanni,43.28,86.47%,84.55%,0.83,1.91,22.33,8.97,9.54%
