Player,Passes,Pass%,xPass%,Score,Per100,Distance,Vertical,Touch%
Ali Adnan,53.63,74.88%,74.77%,0.06,0.11,19.99,4.64,11.73%
Alex Roldan,28.49,83.22%,83.03%,0.06,0.19,17.60,0.66,4.13%
Kenneth Kronholm,32.49,76.83%,76.67%,0.05,0.16,34.98,25.56,11.36%
Nani,54.44,75.69%,75.60%,0.05,0.09,19.02,3.56,9.96%
Tajon Buchanan,15.03,65.71%,65.40%,0.05,0.32,15.25,2.00,3.12%
Mo Adams,42.81,84.08%,84.04%,0.02,0.05,17.05,4.33,4.59%
Matt Freese,26.20,58.02%,57.96%,0.01,0.06,43.50,37.51,15.46%
Mark-Anthony Kaye,66.84,83.84%,83.83%,0.01,0.02,18.23,5.37,10.87%
James Sands,51.41,86.51%,86.50%,0.01,0.02,20.76,5.81,8.68%
Sebastián Saucedo,39.17,77.26%,77.24%,0.01,0.02,21.00,2.48,5.47%
Daniel Bedoya,0.00,0.00%,0.00%,0.00,0.00,0.00,0.00,0.00%
Juan Pablo Torres,0.00,0.00%,0.00%,0.00,0.00,0.00,0.00,0.00%
Zachary Brault-Guillard,51.87,74.57%,74.59%,-0.01,-0.02,19.45,4.56,8.45%
Robin Lod,30.89,81.37%,81.41%,-0.01,-0.04,16.29,1.77,4.96%
Doneil Henry,38.89,81.83%,81.88%,-0.02,-0.05,23.88,10.77,8.80%
Harry Shipp,46.41,81.59%,81.63%,-0.02,-0.05,16.94,3.25,5.53%
Luis Argudo,33.85,82.14%,82.23%,-0.03,-0.09,17.00,0.90,5.18%
Sam Nicholson,24.68,67.72%,67.86%,-0.04,-0.15,16.30,1.78,5.88%
Jesse González,31.09,82.56%,82.68%,-0.04,-0.12,32.82,21.53,13.56%
Daniel Vega,33.65,74.64%,74.80%,-0.05,-0.15,36.88,25.79,17.52%
Favio Álvarez,48.14,82.16%,82.27%,-0.05,-0.11,16.30,2.78,7.81%
Joe Gyau,28.16,83.22%,83.43%,-0.06,-0.20,14.31,-1.66,5.56%
Yordy Reyna,29.60,76.97%,77.16%,-0.06,-0.20,17.89,2.16,7.00%
José Bizama,45.53,75.00%,75.13%,-0.06,-0.13,18.48,3.26,9.74%
Víctor Rodríguez,47.35,74.70%,74.83%,-0.06,-0.13,15.63,2.58,7.06%
Vito Mannone,30.74,63.26%,63.47%,-0.06,-0.21,43.49,37.29,14.54%
Sean Davis,53.39,76.10%,76.23%,-0.07,-0.14,17.62,7.99,10.99%
Brian Rowe,27.91,62.46%,62.73%,-0.08,-0.27,47.17,40.34,14.91%
Christian Ramirez,20.96,79.79%,80.19%,-0.08,-0.40,14.78,1.23,3.26%
Mohamed El-Munir,64.28,79.39%,79.52%,-0.08,-0.13,17.17,4.45,5.63%
Wilfried Moimbé,32.81,66.12%,66.37%,-0.08,-0.26,21.77,10.46,8.68%
Johan Blomberg,33.94,74.29%,74.57%,-0.10,-0.28,13.89,1.85,3.66%
Derek Cornelius,42.15,81.87%,82.10%,-0.10,-0.23,23.63,9.06,9.27%
Benny Feilhaber,45.12,83.14%,83.37%,-0.10,-0.22,19.40,3.22,7.02%
Aaron Long,36.36,64.49%,64.77%,-0.10,-0.28,22.97,14.94,8.47%
Clément Bayiha,33.09,75.27%,75.59%,-0.10,-0.32,13.02,-0.39,4.05%
Ayo Akinola,20.31,85.48%,86.01%,-0.11,-0.53,15.74,-3.59,1.78%
Fabian Herbers,36.40,80.66%,80.97%,-0.11,-0.30,15.28,0.30,4.18%
Emil Cuello,24.20,75.81%,76.30%,-0.12,-0.49,19.02,3.07,2.32%
Donovan Pines,36.94,79.94%,80.31%,-0.14,-0.37,20.94,6.54,7.61%
Michael Barrios,33.60,70.10%,70.51%,-0.14,-0.41,18.38,-1.38,7.00%
Nemanja Nikolic,21.46,81.55%,82.20%,-0.14,-0.65,14.68,-3.07,3.63%
Carlos Gruezo,63.85,88.37%,88.59%,-0.14,-0.22,19.40,1.99,10.50%
Jordy Delem,44.24,81.92%,82.24%,-0.14,-0.32,18.71,6.53,6.60%
Mathieu Choinière,29.16,81.97%,82.48%,-0.15,-0.51,15.86,0.87,3.53%
DeJuan Jones,35.67,75.09%,75.51%,-0.15,-0.42,17.35,4.57,6.69%
Miguel Ibarra,35.79,77.80%,78.26%,-0.16,-0.46,16.97,1.61,5.90%
Cristian Penilla,34.21,71.20%,71.69%,-0.17,-0.48,19.00,3.12,6.03%
Joe Bendik,26.99,71.86%,72.47%,-0.17,-0.62,39.81,31.23,13.59%
Caleb Stanko,41.35,84.29%,84.69%,-0.17,-0.41,19.97,4.34,6.31%
Jozy Altidore,25.22,76.76%,77.50%,-0.19,-0.74,16.56,1.10,4.86%
Kellyn Acosta,33.78,80.65%,81.21%,-0.19,-0.55,18.59,4.49,8.21%
Wilfried Zahibo,47.88,77.90%,78.31%,-0.20,-0.41,20.19,8.81,7.20%
Rasmus Schüller,44.72,82.11%,82.58%,-0.21,-0.47,17.77,2.65,6.78%
Marcelo Silva,37.50,82.30%,82.88%,-0.22,-0.58,22.16,7.75,7.25%
Alexander Ring,64.33,83.14%,83.48%,-0.22,-0.34,21.98,6.89,11.80%
Zoltán Stieber,38.72,79.17%,79.73%,-0.22,-0.57,16.90,1.06,3.15%
Saphir Taïder,60.42,81.47%,81.84%,-0.22,-0.37,22.53,1.88,11.44%
Maxime Crépeau,35.31,71.58%,72.21%,-0.22,-0.63,41.04,30.36,16.33%
Ricardo Clark,47.14,81.77%,82.25%,-0.22,-0.48,18.54,5.89,6.53%
Scott Caldwell,43.23,81.45%,81.97%,-0.23,-0.53,19.22,6.22,6.52%
Bill Hamid,25.38,62.80%,63.74%,-0.24,-0.94,43.76,37.27,13.18%
Diego Valeri,55.24,71.72%,72.15%,-0.24,-0.43,20.77,3.17,10.10%
Derrick Jones,20.06,85.71%,86.93%,-0.24,-1.21,11.55,2.05,2.88%
Andy Rose,42.23,81.69%,82.28%,-0.25,-0.59,20.91,6.15,7.91%
Michaell Chirinos,32.65,83.33%,84.10%,-0.25,-0.77,17.07,-1.31,5.23%
Adam Lundkvist,51.78,73.82%,74.32%,-0.26,-0.49,20.94,2.78,10.25%
Luis Díaz,20.87,64.58%,65.84%,-0.26,-1.25,18.19,1.26,4.04%
David Accam,20.19,73.00%,74.29%,-0.26,-1.30,15.38,0.65,3.21%
Evan Bush,29.08,67.82%,68.78%,-0.28,-0.96,40.42,31.70,16.81%
Dom Dwyer,12.30,72.37%,74.68%,-0.28,-2.31,15.79,0.15,3.02%
Juan David Cabezas,38.19,81.53%,82.28%,-0.29,-0.75,19.91,5.35,4.58%
Zack Steffen,30.63,73.41%,74.38%,-0.30,-0.97,37.42,29.18,13.90%
Leonardo Jara,47.06,77.83%,78.48%,-0.30,-0.65,19.29,3.82,8.79%
Victor Ulloa,52.61,82.22%,82.81%,-0.31,-0.59,18.97,4.11,9.02%
Jeff Larentowicz,44.54,84.20%,84.92%,-0.32,-0.71,19.14,3.64,5.37%
Erik Holt,33.91,77.46%,78.40%,-0.32,-0.94,24.37,10.80,7.36%
Victor Giro,39.47,81.62%,82.44%,-0.32,-0.82,16.02,1.53,4.44%
Fatai Alashe,26.22,81.62%,82.87%,-0.33,-1.26,16.00,3.72,3.42%
Samuel Piette,53.34,84.14%,84.76%,-0.33,-0.62,22.58,5.03,10.32%
Zlatan Ibrahimovic,32.74,71.00%,72.04%,-0.34,-1.04,16.23,3.35,8.04%
Joe Willis,28.12,65.18%,66.41%,-0.35,-1.23,43.09,35.02,17.27%
Youness Mokhtar,36.45,70.49%,71.48%,-0.36,-0.98,22.82,6.30,5.47%
Zdenek Ondrasek,18.75,78.44%,80.39%,-0.36,-1.95,14.68,-2.27,2.39%
Eric Dick,29.62,68.97%,70.24%,-0.38,-1.27,40.63,34.15,23.70%
Danny Wilson,33.77,73.59%,74.73%,-0.38,-1.14,24.34,10.55,7.11%
Maximiliano Moralez,59.52,75.69%,76.33%,-0.38,-0.65,20.52,4.34,10.30%
Cristian Higuita,59.86,85.94%,86.59%,-0.39,-0.65,17.61,1.49,9.84%
Damir Kreilach,51.67,79.96%,80.72%,-0.39,-0.76,18.43,2.33,9.86%
Tosaint Ricketts,16.49,78.65%,81.09%,-0.40,-2.44,15.41,-3.30,3.06%
Mauro Manotas,23.32,78.48%,80.20%,-0.40,-1.73,14.87,0.12,5.53%
Jordan Morris,30.41,75.36%,76.70%,-0.41,-1.34,16.52,0.33,5.43%
Dániel Sallói,25.35,76.89%,78.51%,-0.41,-1.62,16.40,0.33,4.09%
Tommy McNamara,31.74,76.22%,77.53%,-0.42,-1.31,18.09,2.74,3.86%
David Guzmán,52.05,81.50%,82.34%,-0.44,-0.84,22.23,5.33,8.95%
Alexandru Mitrita,34.01,71.84%,73.16%,-0.45,-1.31,17.37,4.66,6.41%
Josef Martínez,20.72,81.02%,83.23%,-0.46,-2.20,14.72,0.06,5.04%
Nicolas Benezet,49.63,79.51%,80.43%,-0.46,-0.92,16.30,2.39,6.16%
Federico Higuaín,64.58,77.86%,78.57%,-0.46,-0.71,20.72,5.03,9.80%
Jacob Shaffelburg,24.88,58.70%,60.59%,-0.47,-1.89,17.64,-1.20,4.33%
Chris Mueller,41.73,73.38%,74.52%,-0.47,-1.13,16.99,1.55,5.54%
Romell Quioto,38.88,64.44%,65.67%,-0.48,-1.23,21.96,1.49,4.76%
Mauricio Pereyra,56.48,75.89%,76.74%,-0.48,-0.85,20.04,6.40,8.46%
Harry Novillo,32.45,72.62%,74.13%,-0.49,-1.51,20.93,1.29,3.69%
Pablo Sisniega,27.26,73.94%,75.75%,-0.49,-1.81,32.94,25.06,8.79%
Alberth Elis,25.55,69.60%,71.60%,-0.51,-2.00,14.78,0.91,6.86%
Raúl Ruidíaz,21.08,84.62%,87.05%,-0.51,-2.43,16.26,-1.93,4.91%
Spencer Richey,34.08,66.97%,68.51%,-0.52,-1.54,41.25,32.59,17.92%
Dominique Badji,21.70,75.96%,78.38%,-0.52,-2.42,16.20,-1.34,4.22%
Kemar Lawrence,44.21,68.44%,69.63%,-0.53,-1.19,18.90,7.71,8.85%
Lawrence Olum,43.68,81.27%,82.48%,-0.53,-1.20,18.83,5.98,6.67%
Ruan,38.85,72.53%,73.92%,-0.54,-1.38,17.21,3.06,8.15%
Thomas Roberts,33.45,78.26%,79.87%,-0.54,-1.61,19.16,3.80,3.62%
Abu Danladi,23.12,71.43%,73.77%,-0.54,-2.35,15.96,0.56,2.59%
Ethan Finlay,19.95,65.98%,68.76%,-0.55,-2.78,16.80,2.67,3.76%
Josué Colmán,47.06,77.00%,78.19%,-0.56,-1.19,21.39,3.73,2.62%
Bojan Krkić,34.12,79.65%,81.29%,-0.56,-1.64,17.00,2.84,6.82%
Brooks Lennon,49.51,72.78%,73.92%,-0.57,-1.14,22.05,5.38,7.20%
Nick Besler,41.78,80.17%,81.56%,-0.58,-1.40,21.07,6.37,5.18%
Eloy Room,33.68,67.93%,69.69%,-0.59,-1.76,40.43,31.61,15.87%
Grant Lillard,40.66,76.29%,77.75%,-0.60,-1.46,24.49,10.43,6.71%
Adrien Pérez,34.46,73.47%,75.20%,-0.60,-1.73,15.75,-0.92,1.60%
Gerso,23.30,68.70%,71.31%,-0.61,-2.61,15.40,0.41,5.34%
Carlos Fierro,31.64,70.11%,72.06%,-0.61,-1.94,16.81,2.85,2.52%
Pablo Aránguiz,47.77,77.56%,78.85%,-0.62,-1.29,18.62,3.65,5.14%
Kofi Opare,35.35,83.49%,85.26%,-0.63,-1.77,19.23,6.31,7.50%
Sebastián Blanco,60.94,69.15%,70.18%,-0.63,-1.03,22.63,7.43,11.51%
Juan Agudelo,36.09,77.96%,79.72%,-0.64,-1.76,15.70,3.25,7.66%
Brett Levis,36.19,75.69%,77.48%,-0.65,-1.78,18.77,4.20,4.45%
João Moutinho,58.94,71.46%,72.59%,-0.66,-1.12,18.92,5.77,9.93%
Cristian Espinoza,49.33,71.19%,72.56%,-0.67,-1.36,19.25,-0.42,9.32%
Brandon Servania,45.34,83.36%,84.88%,-0.69,-1.52,18.49,4.35,6.43%
Memo Rodríguez,34.60,68.73%,70.74%,-0.70,-2.02,20.09,2.37,5.45%
Nicolás Mezquida,37.53,73.37%,75.24%,-0.70,-1.87,18.93,2.94,5.60%
Ethan Zubak,13.47,62.50%,67.72%,-0.70,-5.22,18.48,9.52,1.19%
Jefferson Savarino,34.65,75.80%,77.84%,-0.70,-2.03,18.95,2.22,7.98%
Ballou Tabla,37.51,77.97%,79.90%,-0.73,-1.94,16.67,0.84,3.00%
Ismael Tajouri-Shradi,40.61,79.86%,81.66%,-0.73,-1.79,16.51,0.79,4.50%
Jeremiah Gutjahr,48.78,71.28%,72.77%,-0.73,-1.50,19.37,7.34,6.54%
Jonathan Lewis,23.45,70.33%,73.46%,-0.73,-3.12,16.54,-0.25,3.85%
Robinho,32.24,77.94%,80.21%,-0.73,-2.28,14.67,-1.39,5.39%
Juninho Pereira,72.00,93.33%,94.35%,-0.73,-1.02,13.49,-5.19,1.04%
Diego Rubio,30.34,71.98%,74.43%,-0.74,-2.44,19.24,4.67,8.21%
Ken Krolicki,41.35,86.27%,88.08%,-0.75,-1.81,16.94,0.17,5.09%
Henry Wingo,31.31,77.63%,80.02%,-0.75,-2.39,16.40,-0.49,3.06%
Ulises Segura,37.43,76.23%,78.23%,-0.75,-2.00,14.69,1.51,5.46%
Romain Alessandrini,64.67,70.10%,71.27%,-0.76,-1.17,17.40,1.44,7.46%
Rodolfo Zelaya,19.06,66.67%,70.66%,-0.76,-3.99,17.80,1.46,1.97%
Danny Leyva,52.27,85.21%,86.68%,-0.77,-1.47,19.29,4.59,7.48%
Carlos Vela,38.98,66.83%,68.80%,-0.77,-1.97,20.34,2.84,8.38%
Julian Gressel,49.86,70.63%,72.19%,-0.78,-1.56,20.43,2.46,8.29%
Brian Fernández,19.44,75.79%,79.78%,-0.78,-3.99,17.23,-0.66,4.22%
Erik Hurtado,17.83,79.64%,84.01%,-0.78,-4.37,14.54,-3.04,4.07%
Andrew Wooten,21.42,74.71%,78.35%,-0.78,-3.64,12.86,-1.32,2.89%
Shane O'Neill,41.49,70.37%,72.26%,-0.78,-1.89,22.72,10.61,8.36%
Warren Creavalle,32.66,78.52%,80.95%,-0.79,-2.43,18.04,4.27,2.69%
Brenden Aaronson,33.35,76.97%,79.44%,-0.82,-2.46,15.67,0.79,5.06%
Forrest Lasso,43.98,73.10%,74.97%,-0.83,-1.88,25.90,12.50,8.91%
Omir Fernandez,22.16,75.16%,78.90%,-0.83,-3.74,11.98,0.48,2.72%
Juan Fernando Caicedo,20.30,75.59%,79.84%,-0.86,-4.25,14.22,-2.75,2.60%
Santiago Mosquera,40.01,72.19%,74.38%,-0.88,-2.19,20.27,3.20,5.04%
Orji Okwonkwo,27.03,77.84%,81.11%,-0.88,-3.27,15.31,-2.85,4.66%
Kyle Duncan,47.28,65.59%,67.46%,-0.88,-1.87,18.48,10.71,11.30%
Maximiliano Urruti,22.29,78.21%,82.23%,-0.90,-4.02,17.50,0.14,5.33%
Diego Campos,50.28,68.50%,70.29%,-0.90,-1.79,21.49,5.37,5.33%
Artur,56.42,84.10%,85.70%,-0.90,-1.60,20.29,3.33,10.02%
Michael Murillo,51.39,66.07%,67.83%,-0.90,-1.76,17.27,8.79,10.45%
Darren Mattocks,20.10,73.10%,77.62%,-0.91,-4.51,15.81,0.34,4.11%
Tesho Akindele,27.18,74.87%,78.23%,-0.91,-3.36,15.16,-0.70,5.09%
Andrew Putna,33.88,50.57%,53.28%,-0.92,-2.71,49.83,45.61,15.82%
Chris Wondolowski,16.28,75.59%,81.30%,-0.93,-5.71,14.46,0.13,2.73%
Jacori Hayes,53.57,85.95%,87.69%,-0.93,-1.75,17.39,2.27,5.98%
Angelo Rodríguez,16.97,66.37%,71.89%,-0.94,-5.52,14.32,1.51,4.01%
Jesús Ferreira,32.68,80.84%,83.74%,-0.95,-2.90,17.78,1.86,5.60%
Danny Hoesen,20.85,71.93%,76.48%,-0.95,-4.54,15.68,1.85,2.99%
Jon Kempin,30.06,62.37%,65.56%,-0.96,-3.19,42.73,35.13,12.22%
Wayne Rooney,46.39,73.37%,75.45%,-0.97,-2.08,22.97,3.42,8.48%
Alex Bono,25.88,67.88%,71.69%,-0.99,-3.81,38.11,30.25,14.12%
Dion Pereira,32.63,74.71%,77.76%,-1.00,-3.05,17.04,-1.15,3.26%
Johnny Russell,36.53,64.25%,67.00%,-1.01,-2.75,22.60,1.99,7.09%
Sacha Kljestan,56.66,78.85%,80.62%,-1.01,-1.78,16.93,3.65,7.71%
Santiago Patiño,10.85,71.11%,80.41%,-1.01,-9.30,15.27,-1.97,1.87%
Emanuel Cecchini,48.53,86.81%,88.90%,-1.01,-2.08,18.31,2.07,4.02%
Luis Robles,24.27,49.40%,53.60%,-1.02,-4.20,48.65,43.63,12.78%
Efrain Álvarez,43.10,72.39%,74.81%,-1.04,-2.42,20.65,5.00,3.98%
Gyasi Zardes,17.25,71.81%,77.88%,-1.05,-6.07,12.71,-0.52,4.85%
Amro Tarek,30.93,58.11%,61.59%,-1.08,-3.48,24.31,16.36,6.63%
Dairon Asprilla,26.31,72.51%,76.63%,-1.08,-4.11,18.24,-0.61,3.85%
Gary Mackay-Steven,29.11,72.93%,76.65%,-1.08,-3.72,16.68,0.30,3.34%
C.J. Sapong,21.68,66.83%,71.85%,-1.09,-5.03,15.15,1.32,5.30%
Fafa Picault,28.49,71.85%,75.72%,-1.10,-3.86,16.26,-1.73,4.53%
Roger Espinoza,40.66,74.71%,77.43%,-1.10,-2.72,19.10,4.74,6.66%
Leonardo Bertone,49.59,76.80%,79.03%,-1.11,-2.24,21.73,6.28,9.55%
Brian Rodríguez,43.45,75.27%,77.85%,-1.12,-2.58,16.76,-3.42,5.24%
Will Bruin,20.02,68.37%,74.00%,-1.13,-5.63,12.39,-0.68,2.70%
Cole Bassett,42.97,78.56%,81.18%,-1.13,-2.63,17.58,1.98,6.07%
Fabinho,38.40,72.50%,75.45%,-1.13,-2.95,14.84,4.15,10.00%
Alvas Powell,43.69,67.56%,70.16%,-1.14,-2.60,23.99,8.23,9.28%
Marc Rzatkowski,47.89,70.71%,73.09%,-1.14,-2.38,17.72,6.37,10.37%
Lass Bangoura,33.47,75.72%,79.12%,-1.14,-3.40,16.65,2.35,3.66%
Jalen Robinson,25.06,74.19%,78.77%,-1.15,-4.58,19.75,6.44,3.44%
Jeremy Ebobisse,22.76,71.59%,76.64%,-1.15,-5.05,17.14,1.91,4.04%
Corey Baird,29.63,77.91%,81.84%,-1.17,-3.93,15.16,-0.55,5.16%
Roland Lamah,32.83,71.88%,75.47%,-1.18,-3.58,18.56,1.35,5.63%
Adama Diomande,20.54,71.81%,77.64%,-1.20,-5.83,16.34,1.61,3.60%
Justin Dhillon,15.44,65.22%,73.05%,-1.21,-7.84,15.74,-1.08,2.46%
Teal Bunbury,24.77,71.80%,76.74%,-1.22,-4.94,15.10,-0.04,5.55%
Marco Farfan,36.85,71.60%,74.93%,-1.22,-3.32,17.45,5.19,7.24%
Quincy Amarikwa,18.34,62.62%,69.36%,-1.24,-6.74,13.86,2.39,1.69%
Alex Muyl,38.85,67.63%,70.82%,-1.24,-3.19,16.08,4.53,6.65%
Daniel Lovitz,54.22,72.39%,74.69%,-1.25,-2.30,20.71,5.45,10.88%
Héctor Villalba,36.26,73.01%,76.49%,-1.26,-3.48,17.09,-0.69,4.37%
Hassani Dotson,41.38,74.01%,77.10%,-1.28,-3.09,19.29,4.83,6.83%
Fanendo Adi,19.94,71.60%,78.09%,-1.29,-6.48,13.71,-1.49,4.18%
Cristian Cásseres Jr,41.57,71.98%,75.09%,-1.30,-3.12,16.10,7.84,9.32%
Lucas Venuto,27.98,73.71%,78.35%,-1.30,-4.64,16.36,-1.49,4.16%
Mason Toye,15.56,67.81%,76.34%,-1.33,-8.53,15.86,-2.65,2.59%
Danilo Acosta,44.51,70.41%,73.40%,-1.33,-2.99,19.31,4.91,9.22%
Kenny Saief,39.39,72.83%,76.25%,-1.35,-3.42,18.90,2.25,7.35%
Ignacio Piatti,28.24,75.31%,80.08%,-1.35,-4.77,18.86,1.27,6.10%
Eryk Williamson,35.83,80.58%,84.36%,-1.35,-3.78,16.55,2.83,4.11%
Carlos Ascues,33.49,78.04%,82.09%,-1.36,-4.05,17.70,4.24,6.12%
Andrew Carleton,43.64,62.86%,65.99%,-1.37,-3.14,21.22,5.09,2.14%
Zac MacMath,37.53,69.87%,73.57%,-1.39,-3.70,39.36,29.40,13.88%
Benji Michel,16.58,65.41%,73.79%,-1.39,-8.38,16.51,1.00,3.67%
Erickson Gallardo,30.87,64.63%,69.21%,-1.41,-4.58,15.69,1.66,3.61%
Marlon Hairston,26.85,73.48%,78.79%,-1.42,-5.31,14.26,-2.60,2.75%
Andreas Ivan,29.08,57.99%,62.93%,-1.44,-4.94,19.87,5.75,4.00%
Darwin Quintero,37.36,67.43%,71.34%,-1.46,-3.91,20.28,7.75,8.08%
Luis Silva,22.05,82.35%,88.99%,-1.46,-6.64,16.22,-0.04,2.35%
Clément Diop,28.26,58.62%,63.82%,-1.47,-5.20,41.73,35.46,15.55%
Kei Kamara,26.44,69.40%,74.96%,-1.47,-5.56,14.84,0.59,8.26%
Lassi Lappalainen,28.31,75.91%,81.11%,-1.47,-5.20,14.52,0.43,5.13%
Paul Arriola,38.07,70.86%,74.75%,-1.48,-3.89,16.10,2.65,8.17%
Krisztián Németh,23.32,74.82%,81.26%,-1.50,-6.44,13.84,-1.10,4.03%
Omar Browne,37.81,70.20%,74.25%,-1.53,-4.05,18.86,3.06,6.14%
Connor Lade,43.78,65.41%,68.95%,-1.55,-3.54,18.44,9.65,8.67%
Mikey Ambrose,56.47,72.35%,75.09%,-1.55,-2.74,17.03,3.97,8.63%
Griffin Yow,11.29,75.00%,88.81%,-1.56,-13.81,14.93,-7.39,2.44%
Handwalla Bwana,30.97,66.82%,71.87%,-1.56,-5.04,15.98,-0.25,3.62%
Daniel Royer,31.71,66.63%,71.56%,-1.56,-4.93,14.18,3.48,6.86%
Brandon Vázquez,22.53,74.55%,81.54%,-1.58,-6.99,14.83,-2.78,3.84%
Terrence Boyd,21.75,69.57%,76.86%,-1.59,-7.29,13.80,-2.66,1.96%
Allan Cruz,25.13,70.88%,77.19%,-1.59,-6.32,16.18,2.99,5.97%
Justin Meram,46.30,72.44%,75.90%,-1.60,-3.46,16.62,1.98,6.31%
Anthony Jackson-Hamel,19.97,67.81%,76.01%,-1.64,-8.21,15.67,-0.65,2.34%
Tom Barlow,17.64,60.83%,70.23%,-1.66,-9.40,11.87,0.07,2.89%
Valentín Castellanos,23.02,65.80%,73.03%,-1.66,-7.23,14.97,1.03,4.61%
Luciano Acosta,54.79,74.18%,77.24%,-1.68,-3.06,17.99,5.36,9.78%
Ryan Meara,28.51,36.67%,42.62%,-1.70,-5.95,62.99,59.24,9.70%
Kekuta Manneh,28.96,73.69%,79.60%,-1.71,-5.90,15.74,-0.01,4.88%
Nicolás Lodeiro,75.72,73.12%,75.38%,-1.71,-2.26,20.41,4.43,14.40%
Andre Shinyashiki,28.00,66.42%,72.55%,-1.72,-6.13,17.01,3.50,5.82%
Kelyn Rowe,36.14,71.43%,76.22%,-1.73,-4.80,18.87,3.64,4.31%
Gustavo Bou,32.63,68.84%,74.25%,-1.77,-5.41,18.35,4.26,8.25%
Brian Wright,11.52,33.33%,48.67%,-1.77,-15.34,12.26,5.48,0.49%
Cory Burke,15.82,55.56%,66.96%,-1.81,-11.41,16.13,1.76,4.21%
Fredy Montero,29.14,66.67%,72.94%,-1.83,-6.28,20.04,4.48,5.53%
Kevin Molino,43.68,73.48%,77.86%,-1.91,-4.38,18.12,3.92,6.55%
Sam Johnson,19.99,67.92%,77.50%,-1.92,-9.58,14.88,-2.12,3.04%
Tomás Conechny,51.84,76.27%,79.97%,-1.92,-3.70,17.27,2.54,2.98%
Chris Durkin,50.18,79.47%,83.39%,-1.96,-3.91,18.69,6.00,6.37%
Héber,27.21,75.05%,82.31%,-1.97,-7.25,14.80,-0.05,5.04%
Ronaldo Peña,24.91,77.08%,85.03%,-1.98,-7.95,13.40,-2.00,3.01%
Emmanuel Ledesma,34.76,62.54%,68.25%,-1.99,-5.72,22.44,4.91,6.75%
Mathias Jørgensen,12.49,63.16%,79.12%,-1.99,-15.96,14.26,-2.20,1.21%
Patrick Mullins,20.50,61.76%,71.51%,-2.00,-9.74,16.02,2.78,1.93%
Kacper Przybylko,32.13,72.82%,79.03%,-2.00,-6.22,14.61,-1.58,6.87%
Tate Schmitt,27.08,69.70%,77.27%,-2.05,-7.57,14.19,-0.28,1.77%
Brian White,20.85,61.98%,72.23%,-2.14,-10.25,12.42,-0.32,4.75%
Alejandro Romero Gamarra,57.52,66.98%,70.70%,-2.14,-3.72,19.09,6.41,9.75%
Ola Kamara,24.85,67.12%,75.77%,-2.15,-8.64,14.76,0.67,3.37%
Tyler Deric,30.89,53.36%,60.32%,-2.15,-6.96,46.98,40.29,15.11%
Abdul Rwatubyaye,60.80,80.70%,84.29%,-2.18,-3.59,22.33,8.48,10.03%
Josh Sims,35.14,66.84%,73.13%,-2.21,-6.29,15.01,-0.22,7.49%
Sergio Santos,23.53,63.22%,72.65%,-2.22,-9.43,15.44,1.07,2.79%
Romario Ibarra,18.69,64.20%,76.14%,-2.23,-11.95,14.35,1.49,2.93%
Sebastian Anderson,38.17,57.58%,63.54%,-2.28,-5.96,19.60,8.15,5.94%
Bradley Wright-Phillips,23.91,64.35%,73.88%,-2.28,-9.53,13.52,1.88,3.60%
Joaquín Ardáiz,14.53,59.21%,75.15%,-2.32,-15.94,13.89,-2.11,1.41%
Theo Bair,22.60,62.62%,72.97%,-2.34,-10.35,15.83,0.58,3.57%
Pedro Santos,40.37,62.54%,68.51%,-2.41,-5.97,21.48,5.05,9.08%
Florian Valot,40.84,68.42%,74.67%,-2.55,-6.25,15.88,5.64,7.59%
Nicolás Gaitán,46.09,64.03%,69.81%,-2.66,-5.78,22.33,6.30,8.08%
Luke Mulholland,46.08,66.67%,72.47%,-2.67,-5.80,22.87,17.44,2.92%
Romario Williams,19.02,59.52%,73.61%,-2.68,-14.08,15.31,1.12,1.92%
Ema Twumasi,34.29,73.33%,81.28%,-2.72,-7.94,18.47,-0.18,1.74%
Lucas Melano,24.43,62.79%,74.24%,-2.80,-11.45,15.97,-2.21,1.64%
Niki Jackson,18.29,58.33%,74.00%,-2.86,-15.66,18.40,3.40,1.02%
Niko Hämäläinen,56.92,76.12%,81.39%,-3.00,-5.27,16.99,1.81,4.05%
Pity Martínez,51.69,67.23%,73.11%,-3.04,-5.88,20.45,4.68,8.00%
Chris Seitz,19.59,40.00%,56.09%,-3.15,-16.09,49.10,40.76,13.17%
Edwin Gyasi,22.86,60.00%,74.39%,-3.29,-14.39,18.35,-2.39,1.92%
Vincent Bezecourt,30.49,55.48%,66.43%,-3.34,-10.94,16.12,6.34,5.25%
Joao Plata,50.73,71.03%,77.95%,-3.51,-6.92,20.13,2.47,2.55%
Rashawn Dally,22.03,70.07%,86.01%,-3.51,-15.94,12.14,-3.06,3.30%
Eric Calvillo,48.00,76.74%,84.66%,-3.80,-7.91,18.68,-2.05,3.31%
Marcus Epps,43.78,61.40%,71.50%,-4.42,-10.10,13.07,2.07,4.38%
Carter Manley,41.94,60.00%,70.81%,-4.53,-10.81,19.84,9.88,11.15%
J.J. Williams,16.26,45.16%,73.19%,-4.56,-28.02,12.15,-1.01,3.00%
Georges Mukumbilwa,22.15,33.33%,53.91%,-4.56,-20.58,19.31,0.96,0.66%
Justin Rennicks,22.54,62.96%,86.26%,-5.25,-23.30,11.76,-0.11,3.94%
Nazmi Albadawi,38.40,66.67%,83.89%,-6.61,-17.23,13.79,-4.33,1.85%
